row_id,sentence1,sentence2,kg1,kg2,semantic_wl_similarity
10,The man accused of using fake grenades to commandeer a Cuban plane that landed in Key West in April was sentenced Friday to 20 years in prison.,A Cuban architect was sentenced to 20 years in prison Friday for using two fake grenades to hijack a passenger plane from Cuba to Florida in April.,"[['man', 'accused_of', 'using_fake_grenades'], ['man', 'sentenced_to', '20_years_in_prison'], ['man', 'landed_plane_in', 'Key_West'], ['man', 'landed_plane_in_month_of', 'April'], ['using_fake_grenades', 'resulted_in', 'commandeering_plane'], ['commandeering_plane', 'landed_in', 'Key_West'], ['commandeering_plane', 'origin', 'Cuba']]","[['Cuban_architect', 'sentenced_to', '20_years_in_prison'], ['Cuban_architect', 'used_fake_grenades_to', 'hijack_plane'], ['Cuban_architect', 'hijacked_plane_from', 'Cuba'], ['Cuban_architect', 'hijacked_plane_to', 'Florida'], ['Cuban_architect', 'landed_plane_in_month_of', 'April']]",0.7761636972427368
11,"Jim Williams, director of the US-VISIT project, said that by the middle of November, many arriving passengers in Atlanta will be fingerprinted and photographed.","Jim Williams, director of the US-VISIT project, said that by the middle of November, inspectors will be fingerprinting and photographing many foreign passengers arriving in Atlanta.","[['Jim Williams', 'is_director_of', 'US-VISIT project'], ['US-VISIT project', 'involved_in', 'fingerprinting'], ['US-VISIT project', 'involved_in', 'photographing'], ['many arriving passengers', 'undergo', 'fingerprinting'], ['many arriving passengers', 'undergo', 'photography'], ['Atlanta', 'location_of', 'fingerprinting_and_photography']]","[['Jim Williams', 'is_director_of', 'US-VISIT project'], ['US-VISIT project', 'responsible_for', 'inspectors'], ['inspectors', 'perform', 'fingerprinting'], ['inspectors', 'perform', 'photography'], ['foreign passengers', 'target_group_of', 'fingerprinting_and_photography'], ['Atlanta', 'location_of', 'fingerprinting_and_photography']]",0.7609936594963074
12,"The hearing occurred a day after the Pentagon for the first time singled out an officer, Dallager, for not addressing the scandal.",The hearing came one day after the Pentagon for the first time singled out an officer - Dallager - for failing to address the scandal.,"[['hearing', 'occurred_on_day_after', 'Pentagon singled_out_officer'], ['Pentagon singled_out_officer', 'singled_out', 'Dallager'], ['Dallager', 'failed_to_address', 'scandal']]","[['hearing', 'occurred_on_day_after', 'Pentagon singled_out_officer'], ['Pentagon singled_out_officer', 'singled_out', 'Dallager'], ['Dallager', 'failed_to_address', 'scandal']]",0.9999999403953552
13,"The Episcopal Church ''is alienating itself from the Anglican Communion,'' said the Very Rev. Peter Karanja, provost of the All Saints Cathedral, in Nairobi.","In Nairobi, the provost of All Saints Cathedral, the Very Reverend Peter Karanja, said the US Episcopal Church was alienating itself from the Anglican Communion.","[['The Episcopal Church', 'is alienating itself from', 'Anglican Communion'], ['Anglican Communion', 'consists_of', 'Anglican Churches'], ['Anglican Communion', 'headquartered_in', 'London'], ['The Episcopal Church', 'headquartered_in', 'United States'], ['The Episcopal Church', 'is_a', 'Anglican Church'], ['Very Rev. Peter Karanja', 'is_a', 'Provost'], ['Very Rev. Peter Karanja', 'is_a', 'Clergyman'], ['Very Rev. Peter Karanja', 'is_located_in', 'All Saints Cathedral'], ['All Saints Cathedral', 'located_in', 'Nairobi']]","[['The Episcopal Church', 'is_alienating_itself_from', 'Anglican Communion'], ['Anglican Communion', 'consists_of', 'Anglican Churches'], ['Anglican Communion', 'headquartered_in', 'London'], ['The Episcopal Church', 'headquartered_in', 'United States'], ['The Episcopal Church', 'is_a', 'Anglican Church'], ['Very Rev. Peter Karanja', 'is_a', 'Provost'], ['Very Rev. Peter Karanja', 'is_a', 'Clergyman'], ['Very Rev. Peter Karanja', 'is_located_in', 'All Saints Cathedral'], ['All Saints Cathedral', 'located_in', 'Nairobi']]",0.9967369437217712
14,"Counties with population declines will be Vermillion, Posey and Madison.","Vermillion, Posey and Madison County populations will decline.","[['County', 'has_name', 'Vermillion'], ['County', 'has_name', 'Posey'], ['County', 'has_name', 'Madison'], ['County', 'undergoes_process', 'population_decline']]","[['Vermillion', 'undergoes_process', 'population_decline'], ['Posey', 'undergoes_process', 'population_decline'], ['Madison', 'undergoes_process', 'population_decline']]",0.5996391177177429
15,"Swartz, indicted in February, had argued that New Hampshire was the wrong place to charge him.","Swartz had sought to have the charges dismissed, saying New Hampshire was the wrong place to charge him.","[['Aaron Swartz', 'argued', 'New Hampshire was the wrong place to charge him']]","[['Aaron Swartz', 'argued', 'New Hampshire was the wrong place to charge him']]",1.0
16,"The last time the survey was conducted, in 1995, those numbers matched.","In 1995, the last survey, those numbers were equal.","[['last survey', 'was_conducted_in', '1995'], ['numbers', 'matched_in', 'last_survey']]","[['last survey', 'was_conducted', 'in_1995'], ['numbers', 'were_equal_in', 'last_survey']]",0.9516183137893677
17,Higher courts have ruled that the tablets broke the constitutional separation of church and state.,The federal courts have ruled that the monument violates the constitutional ban against state-established religion.,"[['higher courts', 'ruled', 'tablets broke constitutional separation'], ['tablets', 'broke', 'constitutional separation of church and state']]","[['federal courts', 'ruled', 'monument violates constitutional ban'], ['monument', 'violates', 'constitutional ban against state-established religion']]",0.6131172776222229
18,They were at Raffles Hospital over the weekend for further evaluation.,"They underwent more tests over the weekend, and are now warded at Raffles Hospital.","[['They', 'were_at', 'Raffles Hospital'], ['Raffles Hospital', 'is_a', 'Hospital'], ['They', 'underwent', 'further_evaluation']]","[['They', 'underwent', 'more_tests'], ['They', 'are_warded_at', 'Raffles Hospital'], ['Raffles Hospital', 'is_a', 'Hospital']]",0.8960819840431213
19,"When the bomb exploded at the Casa de España, customers were eating dinner and playing bingo.","At the Casa de Espaa, customers were eating dinner and playing bingo when a bomb went off.","[['Casa de España', 'location_of', 'event'], ['event', 'type', 'bomb_explosion'], ['customers', 'present_at', 'Casa de España'], ['customers', 'activity', 'eating_dinner'], ['customers', 'activity', 'playing_bingo']]","[['Casa de España', 'location_of', 'event'], ['event', 'type', 'bomb_explosion'], ['customers', 'present_at', 'Casa de España'], ['customers', 'activity', 'eating_dinner'], ['customers', 'activity', 'playing_bingo']]",1.0000001192092896
20,Plofsky said the commission won't investigate because the three-year statute of limitations has expired.,"The panel will not begin a formal investigation because the statute of limitations has expired, Plofsky said.","[['Plofsky', 'said', ""commission won't investigate""], ['commission', ""won't investigate"", 'because'], ['commission', ""won't investigate"", 'statute of limitations has expired'], ['statute of limitations', 'has expired', 'three-year']]","[['Plofsky', 'said', ""panel won't begin""], ['panel', ""won't begin"", 'formal investigation'], ['panel', ""won't begin"", 'because'], ['panel', ""won't begin"", 'statute of limitations has expired']]",0.6604589819908142
21,"In two weeks, he'll probably send out Peace Rules in the Preakness.",Frankel said Peace Rules will run in the Preakness Stakes on May 17.,"[['he', 'will_send_out', 'Peace Rules'], ['Peace Rules', 'participates_in', 'Preakness Stakes'], ['Preakness Stakes', 'date', 'May 17']]","[['Frankel', 'said', 'Peace Rules'], ['Peace Rules', 'will_run_in', 'Preakness Stakes'], ['Preakness Stakes', 'date', 'May 17']]",0.8946025967597961
22,"If convicted of the spying charges, he could face the death penalty.",The charges of espionage and aiding the enemy can carry the death penalty.,"[['he', 'could face', 'death penalty'], ['he', 'convicted of', 'spying charges'], ['spying charges', 'carry', 'death penalty']]","[['he', 'could face', 'death penalty'], ['he', 'charged with', 'espionage'], ['he', 'charged with', 'aiding the enemy'], ['espionage', 'carries', 'death penalty'], ['aiding the enemy', 'carries', 'death penalty']]",0.7517098188400269
23,"The technology-laced Nasdaq Composite Index was up 7.60 points, or 0.46 percent, at 1,653.62.","The broader Standard & Poor's 500 Index <.SPX> shed 2.38 points, or 0.24 percent, at 995.10.","[['Nasdaq Composite Index', 'was_up', '7.60_points'], ['Nasdaq Composite Index', 'was_at', '1,653.62'], ['Nasdaq Composite Index', 'percent_change', '0.46'], ['Nasdaq Composite Index', 'index_name', 'Nasdaq_Composite_Index']]","[[""Standard & Poor's 500 Index"", 'was_down', '2.38_points'], [""Standard & Poor's 500 Index"", 'was_at', '995.10'], [""Standard & Poor's 500 Index"", 'percent_change', '-0.24'], [""Standard & Poor's 500 Index"", 'index_name', ""Standard_&_Poor's_500_Index""]]",0.7213026285171509
24,Hilsenrath and Klarman each were indicted on three counts of securities fraud.,Klarman was charged with 16 counts of wire fraud.,"[['Hilsenrath', 'indicted on', 'three counts of securities fraud'], ['Klarman', 'indicted on', 'three counts of securities fraud'], ['Hilsenrath', 'identical_to', 'Klarman']]","[['Klarman', 'charged with', '16 counts of wire fraud']]",0.5875717401504517
25,Entrenched interests are positioning themselves to control the network's chokepoints and they are lobbying the FCC to aid and abet them.,"It may be dying because entrenched interests are positioning themselves to control the Internet's choke-points and they are lobbying the FCC to aid and abet them.""","[['entrenched interests', 'positioning_themselves', ""network's chokepoints""], ['entrenched interests', 'lobbying', 'FCC']]","[['it', 'may_be_dying', 'because'], ['entrenched_interests', 'positioning_themselves', ""internet's choke-points""], ['entrenched_interests', 'lobbying', 'FCC'], ['FCC', 'aiding_and_abetting', 'entrenched_interests']]",0.6997418999671936
26,But church members and observers say they expect that the decision could be problematic for many Episcopalians.,But church members and observers say they anticipate that the decision here could pose doctrinal problems for some Episcopalians who believe the Bible prohibits homosexuality.,"[['church members', 'expect', 'decision could be problematic'], ['decision', 'affects', 'many Episcopalians'], ['observers', 'say', 'decision could pose problems'], ['Episcopalians', 'belong to', 'church']]","[['church members', 'anticipate', 'decision could pose doctrinal problems'], ['some Episcopalians', 'believe', 'Bible prohibits homosexuality'], ['decision', 'affects', 'doctrinal beliefs'], ['Episcopalians', 'belong to', 'church']]",0.8431922793388367
27,Squyres is principal investigator for the Athena payload - a collection of science instruments carted by each rover.,"Steve Squyres, a Cornell University scientist, is principal investigator for the missions' science instruments.","[['Steve Squyres', 'is_principal_investigator_for', 'Athena_payload'], ['Athena_payload', 'is_collected_by', 'each_rover']]","[['Steve Squyres', 'is_principal_investigator_for', ""missions' science instruments""], [""missions' science instruments"", 'belongs_to', 'Cornell University']]",0.49987316131591797
28,"The military said it had killed 12 rebels and captured nine in the campaign so far, for the loss of six soldiers wounded.","The military said it had killed 16 rebels and captured nine in the campaign so far, with one soldier killed and six wounded.","[['military', 'killed', '12 rebels'], ['military', 'captured', '9 rebels'], ['campaign', 'lost', '6 soldiers'], ['soldiers', 'wounded', '6']]","[['military', 'killed', '16 rebels'], ['military', 'captured', '9 rebels'], ['campaign', 'lost', '1 soldier'], ['soldier', 'killed', '1'], ['soldiers', 'wounded', '6']]",0.9711838960647583
29,The new sensor -- dubbed CANARY for ''cellular analysis and notification of antigen risks and yields'' -- hijacks this natural process with two important changes.,"The team has named the sensor Canary, for cellular analysis and notification of antigen risks and yields.","[['CANARY (sensor)', 'named', 'Canary'], ['CANARY (sensor)', 'used for', 'cellular analysis and notification of antigen risks and yields']]","[['CANARY (sensor)', 'dubbed as', 'CANARY (sensor name)'], ['CANARY (sensor name)', 'described as', 'cellular analysis and notification of antigen risks and yields']]",0.8916857838630676
30,Express Scripts ESRX.O shares fell 3.6 percent to close at $66.89 on the Nasdaq.,Shares of Express Scripts ESRX.O fell about 4 percent to $66.73 on the Nasdaq in late morning trade.,"[['Express Scripts ESRX.O', 'fell', '3.6%'], ['Express Scripts ESRX.O', 'closed_at', '$66.89'], ['Express Scripts ESRX.O', 'traded_on', 'Nasdaq']]","[['Express Scripts ESRX.O', 'fell_about', '4%'], ['Express Scripts ESRX.O', 'closed_at_approximately', '$66.73'], ['Express Scripts ESRX.O', 'traded_on', 'Nasdaq']]",0.9853519201278687
31,"One, Fort Carson-based Sgt. Ernest Bucklew, 33, had been on his way home to attend his mother's funeral in Pennsylvania.","Sgt. Ernest Bucklew, 33, was coming home from Iraq to bury his mother in Pennsylvania.","[['Sgt. Ernest Bucklew', 'was_coming_from', 'Iraq'], ['Sgt. Ernest Bucklew', 'had_been', 'on_his_way_to_his_mother_s_funeral'], ['Sgt. Ernest Bucklew', 'was_from', 'Fort_Carson'], ['Sgt. Ernest Bucklew', 'was', '33'], ['Sgt. Ernest Bucklew', 'was', 'a_soldier'], ['Pennsylvania', 'was_location_of', 'mother_s_funeral']]","[['Sgt. Ernest Bucklew', 'was_coming_from', 'Iraq'], ['Sgt. Ernest Bucklew', 'was_going_to', 'mother_s_funeral'], ['Sgt. Ernest Bucklew', 'was', '33'], ['Sgt. Ernest Bucklew', 'was', 'a_soldier'], ['Fort_Carson', 'was_location_of', 'Sgt_Ernest_Bucklew'], ['Pennsylvania', 'was_location_of', 'mother_s_funeral']]",0.9778963923454285
32,Police launched an international hunt for Shevaun Pennington after she ran away with 31-year-old Toby Studabaker Saturday.,Shevaun Pennington disappeared on Saturday morning after arranging to meet 31-year-old Toby Studabaker.,"[['Shevaun Pennington', 'ran_away_with', 'Toby Studabaker'], ['Shevaun Pennington', 'disappeared', 'Saturday'], ['Toby Studabaker', 'age', '31']]","[['Shevaun Pennington', 'arranged_to_meet', 'Toby Studabaker'], ['Shevaun Pennington', 'disappeared', 'Saturday'], ['Toby Studabaker', 'age', '31']]",0.9841022491455078
33,"Lawyers and others familiar with the federal investigation say it remains focused on Campbell, though prosecutors declined to discuss the probe.","While federal prosecutors refuse to discuss the investigation, lawyers and others familiar with it say it remains focused on Campbell.","[['lawyers and others', 'familiar with', 'federal investigation'], ['federal investigation', 'focused on', 'Campbell']]","[['lawyers and others', 'familiar with', 'federal investigation'], ['federal investigation', 'focused on', 'Campbell']]",1.0
34,"The Dow Jones industrial average .DJI was off 58.69 points, or 0.64 percent, at 9,137.86.","The blue-chip Dow Jones industrial average .DJI fell 86.56 points, or 0.94 percent, to 9,109.99, after giving up more than 1 percent earlier.","[['.DJI (Dow Jones industrial average)', 'was_off', '-58.69'], ['.DJI (Dow Jones industrial average)', 'was', '9137.86'], ['.DJI (Dow Jones industrial average)', 'decreased_by', '0.64'], ['.DJI (Dow Jones industrial average)', 'is_a', 'stock_index']]","[['.DJI (Dow Jones industrial average)', 'fell', '-86.56'], ['.DJI (Dow Jones industrial average)', 'was', '9109.99'], ['.DJI (Dow Jones industrial average)', 'decreased_by', '0.94'], ['.DJI (Dow Jones industrial average)', 'is_a', 'stock_index']]",0.97843998670578
35,Peace Rules defeated Funny Cide in the Louisiana Derby.,But neither he nor Peace Rules could keep Funny Cide from drawing away.,"[['Peace Rules', 'defeated', 'Funny Cide'], ['Peace Rules', 'raced_in', 'Louisiana Derby']]","[['Funny Cide', ""couldn't_be_kept_from_drawing_away_by"", 'Peace Rules'], ['Funny Cide', 'raced_in', 'Louisiana Derby']]",0.8891834020614624
36,Waksal has pleaded guilty to securities fraud and is to be sentenced next week.,"Waksal pleaded guilty to insider trading charges last year, and he is scheduled to be sentenced June 10.","[['Waksal', 'pleaded_guilty_to', 'securities_fraud'], ['Waksal', 'is_to_be_sentenced', 'next_week']]","[['Waksal', 'pleaded_guilty_to', 'insider_trading_charges'], ['Waksal', 'is_scheduled_to_be_sentenced', 'June_10']]",0.8823671936988831
37,He allowed two runs in seven innings and struck out six.,Zambrano pitched seven innings and allowed two runs on five hits and four walks.,"[['He', 'allowed', 'two runs'], ['He', 'pitched', 'seven innings'], ['two runs', 'scored_by', 'base_runners']]","[['Zambrano', 'pitched', 'seven innings'], ['Zambrano', 'allowed', 'two runs'], ['two runs', 'scored_by', 'base_runners'], ['five hits', 'allowed_by', 'Zambrano'], ['four walks', 'issued_by', 'Zambrano']]",0.7331184148788452
38,"Still, he said, ""I'm absolutely confident we're going to have a bill.""","""I'm absolutely confident we're going to have a bill,"" Frist, R-Tenn., said Thursday.","[['he', 'said', ""I'm absolutely confident we're going to have a bill.""], [""I'm absolutely confident we're going to have a bill."", 'is_statement_of', 'he']]","[['Frist, R-Tenn.', 'said', ""I'm absolutely confident we're going to have a bill.""], [""I'm absolutely confident we're going to have a bill."", 'is_statement_of', 'Frist, R-Tenn.']]",0.9021857380867004
39,Boeing said the final agreement is expected to be signed during the next few weeks.,"The Korean Air deal is expected to be finalized ""in the next several weeks,"" Boeing spokesman Bob Saling said.","[['Boeing', 'expected_to_sign', 'final_agreement'], ['final_agreement', 'expected_signing_time', 'next_few_weeks']]","[['Boeing', 'spokesman', 'Bob Saling'], ['Bob Saling', 'announced', 'expected_finalization_time'], ['expected_finalization_time', 'description', 'in the next several weeks'], ['expected_finalization_time', 'belongs_to', 'Korean_Air_deal']]",0.7064108848571777
40,"Shares in EDS closed on Thursday at $18.51, a gain of 6 cents.","Shares of EDS closed Thursday at $18.51, up 6 cents on the New York Stock Exchange.","[['EDS', 'closed_at', '18.51'], ['EDS', 'gained', '6 cents'], ['EDS', 'is_a', 'company']]","[['EDS', 'closed_at', '18.51'], ['EDS', 'increased_by', '6 cents'], ['EDS', 'is_a', 'company'], ['EDS', 'located_at', 'New York Stock Exchange']]",0.9360496401786804
41,"Nationally, the federal Centers for Disease Control and Prevention recorded 4,156 cases of West Nile, including 284 deaths.","There were 293 human cases of West Nile in Indiana in 2002, including 11 deaths statewide.","[['Centers for Disease Control and Prevention', 'recorded', '4156 cases of West Nile'], ['4156 cases of West Nile', 'included', '284 deaths'], ['284 deaths', 'occurred', 'nationally']]","[['Indiana', 'recorded', '293 human cases of West Nile'], ['293 human cases of West Nile', 'included', '11 deaths'], ['11 deaths', 'occurred', 'in Indiana']]",0.7859464883804321
42,A divided Supreme Court ruled Monday that Congress can force the nation's public libraries to equip computers with anti-pornography filters.,"The Supreme Court said Monday the government can require public libraries to equip computers with anti-pornography filters, rejecting librarians' complaints that the law amounts to censorship.","[['Supreme Court', 'ruled', 'Monday'], ['Supreme Court', 'issued', 'ruling'], ['ruling', 'on', ""nation's public libraries""], [""nation's public libraries"", 'required', 'equip computers'], ['computers', 'with', 'anti-pornography filters']]","[['Supreme Court', 'said', 'Monday'], ['Supreme Court', 'issued', 'ruling'], ['ruling', 'on', 'public libraries'], ['public libraries', 'required', 'equip computers'], ['computers', 'with', 'anti-pornography filters'], ['librarians', 'complained', 'law'], ['law', 'amounts to', 'censorship']]",0.8875356316566467
43,The weakness exists in the way that VBA looks at the properties of documents passed to it when the document is opened by a host application.,The vulnerability exists in the way Microsoft's Visual Basic for Applications checks document properties passed to it when a document is opened.,"[['VBA', 'checks', 'document_properties'], ['document_properties', 'passed_to', 'VBA'], ['VBA', 'looks_at', 'properties_of_documents'], ['properties_of_documents', 'weakness_exists_in', 'way_VBA_handles_them']]","[['Microsoft', 'developed', 'Visual_Basic_for_Applications'], ['Visual_Basic_for_Applications', 'checks', 'document_properties'], ['document_properties', 'passed_to', 'Visual_Basic_for_Applications'], ['Visual_Basic_for_Applications', 'handles', 'properties_of_documents'], ['properties_of_documents', 'vulnerability_exists_in', 'way_Microsoft_handles_them']]",0.716014564037323
44,"Of 24 million phoned-in votes, 50.28 percent were for Studdard, putting him 130,000 votes ahead of Aiken.","Of the 24 million phone votes cast, Studdard was only 130,000 votes ahead of Aiken.","[['Studdard', 'received', '50.28_percent_of_votes'], ['Studdard', 'had', '130000_votes_more_than_Aiken'], ['Studdard', 'was', '130000_votes_ahead_of_Aiken']]","[['Studdard', 'had', '50.28_percent_of_votes'], ['Aiken', 'had', '49.72_percent_of_votes'], ['Studdard', 'was', '130000_votes_ahead_of_Aiken']]",0.9518188834190369
45,Consumers still would have to get a descrambling security card from their cable operator to plug into the set.,"To watch pay television, consumers would insert into the set a security card provided by their cable service.","[['Consumers', 'need', 'descrambling security card'], ['descrambling security card', 'provided by', 'cable operator'], ['Consumers', 'plug', 'descrambling security card']]","[['Consumers', 'need', 'security card'], ['security card', 'provided by', 'cable service'], ['Consumers', 'plug', 'security card']]",0.8723140358924866
46,"However, we have decided to opt for the European consortium's engine as the best overall solution and due to the substantial price efforts made"".","However, we have decided to opt for the European consortium's engine as the best overall solution.""","[[""European consortium's engine"", 'was chosen as', 'best overall solution']]","[[""European consortium's engine"", 'was chosen as', 'best overall solution']]",0.9999999403953552
47,"The Food and Drug Administration rejected ImClone's 2001 application to sell Erbitux, citing shoddy research.","The U.S. Food and Drug Administration rejected ImClone's original application in December 2001, saying the trial had been sloppily conducted.","[['ImClone', 'submitted_application', 'Food_and_Drug_Administration'], ['Food_and_Drug_Administration', 'rejected', 'ImClone'], ['ImClone', 'product', 'Erbitux'], ['Erbitux', 'application_year', '2001'], ['ImClone', 'research', 'shoddy']]","[['ImClone', 'submitted_application', 'Food_and_Drug_Administration'], ['Food_and_Drug_Administration', 'rejected', 'ImClone'], ['ImClone', 'product', 'Erbitux'], ['Erbitux', 'application_year', '2001'], ['Food_and_Drug_Administration', 'reason_for_rejection', 'sloppily_conducted_research']]",0.9062556624412537
48,"Critics say the law violates civil liberties, something House Judiciary Committee Chairman James Sensenbrenner, R-Wis., says he is sensitive to.","House Judiciary Committee Chairman James Sensenbrenner, R-Wis., says he is sensitive to civil liberties complaints.","[['House Judiciary Committee Chairman', 'is', 'James Sensenbrenner'], ['James Sensenbrenner', 'is_a', 'Republican'], ['James Sensenbrenner', 'is_from', 'Wisconsin'], ['James Sensenbrenner', 'says', 'he is sensitive to civil liberties complaints']]","[['House Judiciary Committee Chairman', 'is', 'James Sensenbrenner'], ['James Sensenbrenner', 'is_a', 'Republican'], ['James Sensenbrenner', 'is_from', 'Wisconsin'], ['James Sensenbrenner', 'is_sensitive_to', 'civil liberties complaints']]",0.9919130206108093
49,"The Dodgers won their sixth consecutive game their longest win streak since 2001 as they edged Colorado, 3-2, Wednesday in front of a crowd of 25,332 at Dodger Stadium.","The Dodgers won their sixth consecutive game and seventh in their last nine as they beat Colorado 3-2 on Wednesday in front of a crowd of 25,332 at Dodger Stadium.","[['Dodgers', 'won', 'six consecutive games'], ['Dodgers', 'won', 'seventh in last nine games'], ['Dodgers', 'beated', 'Colorado'], ['Dodgers', 'score', '3-2'], ['Dodgers', 'played_against', 'Colorado'], ['Colorado', 'lost', '3-2'], ['Crowd', 'attended', '25,332'], ['Dodger Stadium', 'location', 'Dodger Stadium']]","[['Dodgers', 'won', 'six consecutive games'], ['Dodgers', 'won', 'seventh in last nine games'], ['Dodgers', 'beated', 'Colorado'], ['Dodgers', 'score', '3-2'], ['Dodgers', 'played_against', 'Colorado'], ['Colorado', 'lost', '3-2'], ['Crowd', 'attended', '25,332'], ['Dodger Stadium', 'location', 'Dodger Stadium']]",1.0000001192092896
50,"So far, they have searched Pennsylvania, Ohio, Michigan, Illinois and Indiana, authorities in those state said.","So far, authorities also have searched areas in Pennsylvania, Ohio, Indiana, and Michigan.","[['authorities', 'searched', 'Pennsylvania'], ['authorities', 'searched', 'Ohio'], ['authorities', 'searched', 'Michigan'], ['authorities', 'searched', 'Illinois'], ['authorities', 'searched', 'Indiana']]","[['authorities', 'have searched', 'areas in Pennsylvania'], ['authorities', 'have searched', 'areas in Ohio'], ['authorities', 'have searched', 'areas in Indiana'], ['authorities', 'have searched', 'areas in Michigan']]",0.8483849167823792
