dataset,perturbation_type,label,kg1_precision,kg1_recall,kg1_f1,kg1_our_triples,kg1_gt_triples,kg2_precision,kg2_recall,kg2_f1,kg2_our_triples,kg2_gt_triples,gt_modified_triples,detected_modifications,modification_detection_acc
codex,node_replacement,0,0.0,0.0,0.0,0,9,0.0,0.0,0.0,0,9,4,0,0.0
codex,node_removal,0,0.0,0.0,0.0,0,15,0.0,0.0,0.0,0,11,4,0,0.0
codex,node_removal,0,0.3571,0.3571,0.3571,14,14,1.0,1.0,1.0,1,1,13,4,0.3077
codex,node_replacement,0,0.3636,0.3636,0.3636,11,11,0.3636,0.3636,0.3636,11,11,20,8,0.4
codex,edge_deletion,0,0.1429,0.1429,0.1429,14,14,0.1667,0.1818,0.1739,12,11,3,0,0.0
codex,node_removal,0,0.4167,0.4167,0.4167,12,12,0.6,1.0,0.75,5,3,9,2,0.2222
codex,node_removal,1,0.4444,0.4444,0.4444,9,9,0.0,0.0,0.0,9,2,7,0,0.0
codex,node_replacement,1,0.3333,0.3333,0.3333,12,12,0.0833,0.0833,0.0833,12,12,20,0,0.0
codex,node_replacement,0,0.2,0.2,0.2,10,10,0.2,0.2,0.2,10,10,20,4,0.2
codex,node_replacement,1,0.4545,0.4545,0.4545,11,11,0.0,0.0,0.0,11,11,20,0,0.0
codex,edge_deletion,1,0.4444,0.4444,0.4444,9,9,0.4444,0.5714,0.5,9,7,2,0,0.0
codex,node_replacement,1,0.5833,0.5833,0.5833,12,12,0.0,0.0,0.0,12,12,24,0,0.0
codex,edge_replacement,1,0.3077,0.3333,0.32,13,12,0.3077,0.3333,0.32,13,12,2,0,0.0
codex,edge_replacement,0,0.3333,0.3333,0.3333,9,9,0.2222,0.2222,0.2222,9,9,2,1,0.5
codex,node_removal,0,0.2727,0.2727,0.2727,11,11,0.0,0.0,0.0,3,3,8,3,0.375
codex,edge_replacement,1,0.3333,0.3333,0.3333,12,12,0.25,0.25,0.25,12,12,4,0,0.0
codex,edge_deletion,1,0.4444,0.4444,0.4444,9,9,0.4444,0.5714,0.5,9,7,2,0,0.0
codex,edge_deletion,1,0.4444,0.4444,0.4444,9,9,0.4444,0.5714,0.5,9,7,2,0,0.0
codex,edge_deletion,0,0.4167,0.4167,0.4167,12,12,0.5556,0.5556,0.5556,9,9,3,0,0.0
codex,edge_replacement,0,0.1538,0.1538,0.1538,13,13,0.1538,0.1538,0.1538,13,13,2,0,0.0
codex,edge_deletion,0,0.4444,0.4444,0.4444,18,18,0.5333,0.5333,0.5333,15,15,3,0,0.0
codex,node_replacement,1,0.4,0.3636,0.381,10,11,0.2,0.1818,0.1905,10,11,14,0,0.0
codex,node_replacement,0,0.2222,0.2222,0.2222,9,9,0.2222,0.2222,0.2222,9,9,8,2,0.25
codex,node_replacement,0,0.125,0.1111,0.1176,8,9,0.25,0.2222,0.2353,8,9,4,1,0.25
codex,edge_deletion,1,0.1176,0.1176,0.1176,17,17,0.1111,0.1538,0.129,18,13,4,0,0.0
codex,edge_deletion,1,0.4167,0.4167,0.4167,12,12,0.4167,0.5556,0.4762,12,9,3,0,0.0
codex,edge_deletion,0,0.4545,0.4545,0.4545,11,11,0.625,0.625,0.625,8,8,3,0,0.0
codex,edge_deletion,1,0.2727,0.2727,0.2727,11,11,0.1818,0.2222,0.2,11,9,2,0,0.0
codex,node_replacement,1,0.3333,0.3333,0.3333,9,9,0.2222,0.2222,0.2222,9,9,8,0,0.0
codex,node_removal,0,0.4706,0.4706,0.4706,17,17,0.4,0.4,0.4,5,5,12,6,0.5
codex,node_replacement,1,0.4444,0.4444,0.4444,9,9,0.0,0.0,0.0,9,9,18,0,0.0
codex,edge_deletion,0,0.1667,0.1667,0.1667,18,18,0.2,0.2,0.2,15,15,3,0,0.0
codex,edge_deletion,0,0.5,0.5,0.5,10,10,0.7143,0.7143,0.7143,7,7,3,0,0.0
codex,node_removal,0,0.3,0.3,0.3,10,10,0.0,0.0,0.0,4,4,6,3,0.5
codex,node_removal,1,0.3636,0.4444,0.4,11,9,0.0909,1.0,0.1667,11,1,8,0,0.0
codex,node_replacement,1,0.2727,0.2727,0.2727,11,11,0.0909,0.0909,0.0909,11,11,10,0,0.0
codex,node_removal,1,0.0,0.0,0.0,0,13,0.0,0.0,0.0,0,3,10,0,0.0
codex,edge_deletion,0,0.2727,0.2727,0.2727,11,11,0.2727,0.375,0.3158,11,8,3,0,0.0
codex,node_removal,0,0.2,0.2222,0.2105,10,9,0.0,0.0,0.0,7,6,3,2,0.6667
codex,edge_deletion,1,0.5833,0.5833,0.5833,12,12,0.5833,0.7,0.6364,12,10,2,0,0.0
codex,node_removal,0,0.3846,0.3846,0.3846,13,13,0.0,0.0,0.0,1,1,12,5,0.4167
codex,node_replacement,0,0.4,0.4,0.4,10,10,0.4,0.4,0.4,10,10,8,4,0.5
codex,node_replacement,1,0.4167,0.4167,0.4167,12,12,0.0,0.0,0.0,12,12,22,0,0.0
codex,node_replacement,0,0.2,0.2,0.2,10,10,0.2,0.2,0.2,10,10,6,0,0.0
codex,edge_deletion,0,0.1818,0.2222,0.2,11,9,0.2222,0.2857,0.25,9,7,2,0,0.0
codex,node_replacement,0,0.3,0.3,0.3,10,10,0.3,0.3,0.3,10,10,14,6,0.4286
codex,node_replacement,1,0.3333,0.3333,0.3333,9,9,0.1,0.1111,0.1053,10,9,12,0,0.0
codex,edge_replacement,1,0.3333,0.3529,0.3429,18,17,0.3333,0.3529,0.3429,18,17,4,0,0.0
codex,node_replacement,0,0.1818,0.1818,0.1818,11,11,0.1818,0.1818,0.1818,11,11,20,4,0.2
codex,node_replacement,1,0.25,0.2727,0.2609,12,11,0.0,0.0,0.0,11,11,20,0,0.0
codex,edge_replacement,1,0.25,0.25,0.25,12,12,0.25,0.25,0.25,12,12,2,0,0.0
codex,node_replacement,0,0.4545,0.4545,0.4545,11,11,0.4545,0.4545,0.4545,11,11,16,8,0.5
codex,node_replacement,0,0.4444,0.4444,0.4444,9,9,0.4444,0.4444,0.4444,9,9,8,6,0.75
codex,edge_replacement,0,0.1818,0.1667,0.1739,11,12,0.1818,0.1667,0.1739,11,12,2,0,0.0
codex,node_removal,0,0.4375,0.4375,0.4375,16,16,0.5,0.5,0.5,2,2,14,6,0.4286
codex,edge_deletion,0,0.3333,0.3333,0.3333,12,12,0.4444,0.4444,0.4444,9,9,3,0,0.0
codex,edge_deletion,1,0.5,0.5,0.5,16,16,0.4375,0.5,0.4667,16,14,2,0,0.0
codex,node_removal,1,0.4444,0.4706,0.4571,18,17,0.3333,0.5455,0.4138,18,11,6,0,0.0
codex,node_replacement,1,0.3077,0.3077,0.3077,13,13,0.0,0.0,0.0,13,13,14,0,0.0
codex,edge_deletion,1,0.5294,0.5294,0.5294,17,17,0.5294,0.75,0.6207,17,12,5,0,0.0
codex,node_removal,1,0.4444,0.4444,0.4444,9,9,0.2222,0.5,0.3077,9,4,5,0,0.0
codex,node_removal,0,0.6,0.6,0.6,10,10,0.625,0.625,0.625,8,8,2,1,0.5
codex,edge_deletion,1,0.2222,0.2,0.2105,9,10,0.2,0.25,0.2222,10,8,2,0,0.0
codex,node_replacement,0,0.4615,0.4615,0.4615,13,13,0.4615,0.4615,0.4615,13,13,14,4,0.2857
codex,node_removal,1,0.1818,0.1818,0.1818,11,11,0.1818,0.2222,0.2,11,9,2,0,0.0
codex,edge_deletion,0,0.25,0.25,0.25,12,12,0.3,0.3,0.3,10,10,2,0,0.0
codex,node_replacement,0,0.3333,0.3333,0.3333,12,12,0.3333,0.3333,0.3333,12,12,20,8,0.4
codex,edge_deletion,1,0.1818,0.2,0.1905,11,10,0.1818,0.25,0.2105,11,8,2,0,0.0
codex,edge_deletion,0,0.6667,0.6667,0.6667,9,9,0.8571,0.8571,0.8571,7,7,2,0,0.0
codex,edge_replacement,0,0.5,0.5,0.5,12,12,0.3333,0.3333,0.3333,12,12,4,0,0.0
codex,node_replacement,0,0.4444,0.4444,0.4444,9,9,0.4444,0.4444,0.4444,9,9,14,8,0.5714
codex,node_removal,0,0.3571,0.3571,0.3571,14,14,0.3333,0.5,0.4,6,4,10,3,0.3
codex,node_removal,0,0.3333,0.3333,0.3333,9,9,0.0,0.0,0.0,1,1,8,3,0.375
codex,node_replacement,1,0.25,0.3,0.2727,12,10,0.1667,0.2,0.1818,12,10,14,0,0.0
codex,edge_deletion,0,0.1,0.1,0.1,10,10,0.125,0.125,0.125,8,8,2,0,0.0
codex,node_replacement,1,0.6,0.6,0.6,10,10,0.4,0.4,0.4,10,10,10,0,0.0
codex,node_replacement,0,0.5,0.5556,0.5263,10,9,0.5556,0.5556,0.5556,9,9,12,8,0.6667
codex,edge_replacement,0,0.5294,0.5294,0.5294,17,17,0.5,0.5294,0.5143,18,17,2,0,0.0
codex,edge_replacement,0,0.2222,0.2222,0.2222,9,9,0.3333,0.3333,0.3333,9,9,2,1,0.5
codex,edge_replacement,0,0.1818,0.1818,0.1818,11,11,0.1667,0.1818,0.1739,12,11,2,0,0.0
codex,node_replacement,0,0.5,0.5,0.5,10,10,0.5,0.5,0.5,10,10,12,6,0.5
codex,edge_deletion,0,0.1667,0.2,0.1818,12,10,0.2222,0.25,0.2353,9,8,2,0,0.0
codex,node_removal,0,0.1818,0.1818,0.1818,11,11,0.1429,0.1429,0.1429,7,7,4,1,0.25
codex,node_replacement,0,0.5385,0.5385,0.5385,13,13,0.5385,0.5385,0.5385,13,13,20,8,0.4
codex,edge_replacement,1,0.2143,0.2143,0.2143,14,14,0.2857,0.2857,0.2857,14,14,2,0,0.0
codex,edge_deletion,1,0.0833,0.0833,0.0833,12,12,0.0833,0.1,0.0909,12,10,2,0,0.0
codex,edge_replacement,1,0.3125,0.3125,0.3125,16,16,0.3125,0.3125,0.3125,16,16,2,0,0.0
codex,edge_deletion,0,0.2222,0.2222,0.2222,9,9,0.2857,0.2857,0.2857,7,7,2,0,0.0
codex,edge_replacement,0,0.1667,0.1667,0.1667,12,12,0.1667,0.1667,0.1667,12,12,2,0,0.0
codex,node_removal,0,0.3077,0.3077,0.3077,13,13,0.0,0.0,0.0,2,2,11,4,0.3636
codex,edge_deletion,1,0.3333,0.3333,0.3333,15,15,0.3333,0.4167,0.3704,15,12,3,0,0.0
codex,edge_replacement,0,0.4615,0.4615,0.4615,13,13,0.4615,0.4615,0.4615,13,13,2,0,0.0
codex,node_removal,1,0.2857,0.2857,0.2857,14,14,0.1429,0.5,0.2222,14,4,10,0,0.0
codex,node_removal,1,0.3,0.3,0.3,10,10,0.1,0.25,0.1429,10,4,6,0,0.0
codex,edge_deletion,1,0.2727,0.3,0.2857,11,10,0.2727,0.375,0.3158,11,8,2,0,0.0
codex,node_removal,1,0.3889,0.4118,0.4,18,17,0.0556,0.1667,0.0833,18,6,11,0,0.0
codex,node_replacement,1,0.4545,0.5,0.4762,11,10,0.0,0.0,0.0,10,10,20,0,0.0
codex,node_removal,1,0.4615,0.4615,0.4615,13,13,0.1538,0.5,0.2353,13,4,9,0,0.0
codex,node_replacement,0,0.5556,0.5556,0.5556,9,9,0.5556,0.5556,0.5556,9,9,18,10,0.5556
codex,edge_replacement,1,0.2857,0.2857,0.2857,14,14,0.2857,0.2857,0.2857,14,14,2,0,0.0
codex,node_replacement,1,0.5455,0.5455,0.5455,11,11,0.0,0.0,0.0,11,11,18,0,0.0
codex,node_replacement,1,0.3,0.3333,0.3158,10,9,0.2222,0.2222,0.2222,9,9,4,0,0.0
codex,node_replacement,1,0.2,0.2,0.2,10,10,0.0,0.0,0.0,10,10,10,0,0.0
codex,edge_deletion,0,0.4545,0.4545,0.4545,11,11,0.625,0.625,0.625,8,8,3,0,0.0
codex,node_removal,0,0.2308,0.2308,0.2308,13,13,0.0,0.0,0.0,6,2,11,3,0.2727
codex,node_replacement,0,0.2727,0.3,0.2857,11,10,0.3,0.3,0.3,10,10,16,2,0.125
codex,node_replacement,1,0.5,0.5,0.5,10,10,0.1,0.1,0.1,10,10,12,0,0.0
codex,edge_replacement,0,0.3,0.3333,0.3158,10,9,0.3333,0.3333,0.3333,9,9,2,0,0.0
codex,node_removal,1,0.3077,0.3077,0.3077,13,13,0.1538,0.5,0.2353,13,4,9,0,0.0
codex,node_replacement,0,0.4,0.4444,0.4211,10,9,0.4,0.4444,0.4211,10,9,4,2,0.5
codex,edge_replacement,0,0.4167,0.4167,0.4167,12,12,0.5,0.5,0.5,12,12,2,1,0.5
codex,node_removal,1,0.4615,0.4615,0.4615,13,13,0.3077,0.5714,0.4,13,7,6,0,0.0
codex,node_removal,1,0.3333,0.3125,0.3226,15,16,0.25,0.3333,0.2857,16,12,4,0,0.0
codex,edge_deletion,0,0.2,0.2,0.2,10,10,0.25,0.25,0.25,8,8,2,0,0.0
codex,node_replacement,1,0.3846,0.3846,0.3846,13,13,0.0769,0.0769,0.0769,13,13,22,0,0.0
codex,node_removal,1,0.3077,0.3077,0.3077,13,13,0.0769,0.125,0.0952,13,8,5,0,0.0
codex,edge_replacement,1,0.4,0.4,0.4,15,15,0.4,0.4,0.4,15,15,4,0,0.0
codex,node_removal,1,0.5,0.5,0.5,12,12,0.1667,0.5,0.25,12,4,8,0,0.0
codex,edge_deletion,1,0.5714,0.5714,0.5714,14,14,0.5714,0.7273,0.64,14,11,3,0,0.0
codex,edge_replacement,0,0.2353,0.2353,0.2353,17,17,0.2353,0.2353,0.2353,17,17,4,0,0.0
codex,node_removal,1,0.4167,0.4167,0.4167,12,12,0.3333,0.4,0.3636,12,10,2,0,0.0
codex,edge_deletion,0,0.3077,0.3333,0.32,13,12,0.3636,0.4,0.381,11,10,2,0,0.0
codex,edge_deletion,0,0.3333,0.3333,0.3333,15,15,0.3846,0.3846,0.3846,13,13,2,0,0.0
codex,node_removal,0,0.4375,0.4118,0.4242,16,17,0.1667,0.5,0.25,6,2,15,6,0.4
codex,edge_replacement,0,0.2222,0.2222,0.2222,9,9,0.2222,0.2222,0.2222,9,9,2,0,0.0
codex,node_replacement,1,0.4615,0.4615,0.4615,13,13,0.3846,0.3846,0.3846,13,13,10,0,0.0
codex,node_removal,0,0.1765,0.1765,0.1765,17,17,0.0,0.0,0.0,2,2,15,3,0.2
codex,node_removal,1,0.3846,0.3846,0.3846,13,13,0.0769,0.5,0.1333,13,2,11,0,0.0
codex,node_removal,0,0.375,0.375,0.375,16,16,0.3333,0.3333,0.3333,6,6,10,4,0.4
codex,edge_deletion,1,0.5833,0.5833,0.5833,12,12,0.5833,0.7,0.6364,12,10,2,0,0.0
codex,node_replacement,1,0.4167,0.4167,0.4167,12,12,0.3333,0.3333,0.3333,12,12,10,0,0.0
codex,edge_deletion,0,0.0,0.0,0.0,10,9,0.0,0.0,0.0,9,7,2,0,0.0
codex,node_removal,0,0.3333,0.3333,0.3333,12,12,0.4286,0.4286,0.4286,7,7,5,1,0.2
codex,node_replacement,1,0.3333,0.3333,0.3333,12,12,0.25,0.25,0.25,12,12,4,0,0.0
codex,node_replacement,1,0.6667,0.6667,0.6667,9,9,0.4444,0.4444,0.4444,9,9,8,0,0.0
codex,edge_deletion,1,0.3333,0.3333,0.3333,9,9,0.3333,0.4286,0.375,9,7,2,0,0.0
codex,edge_replacement,1,0.2727,0.2727,0.2727,11,11,0.2727,0.2727,0.2727,11,11,2,0,0.0
codex,edge_replacement,1,0.3333,0.4,0.3636,12,10,0.3,0.3,0.3,10,10,2,0,0.0
codex,edge_deletion,1,0.4615,0.4615,0.4615,13,13,0.4615,0.6,0.5217,13,10,3,0,0.0
codex,edge_replacement,0,0.0,0.0,0.0,10,12,0.0,0.0,0.0,10,12,2,0,0.0
codex,node_replacement,0,0.4,0.4,0.4,10,10,0.4,0.4,0.4,10,10,14,2,0.1429
codex,node_replacement,0,0.25,0.2308,0.24,12,13,0.3077,0.3077,0.3077,13,13,20,6,0.3
codex,node_replacement,1,0.4444,0.4444,0.4444,9,9,0.3333,0.3333,0.3333,9,9,6,0,0.0
codex,node_replacement,0,0.3333,0.3333,0.3333,9,9,0.3,0.3333,0.3158,10,9,18,6,0.3333
codex,node_replacement,0,0.4,0.4,0.4,10,10,0.5,0.5,0.5,10,10,18,7,0.3889
