Dataset,Method,N,TP,FP,TN,FN,Precision,Recall,F1,AUC
MRPC (KEA Enhanced),BERTScore,400,180,95,105,20,0.655,0.9,0.758,0.816
MRPC (KEA Enhanced),all-MiniLM-L6-v2,400,185,127,73,15,0.593,0.925,0.723,0.748
MRPC (KEA Enhanced),sentence-t5-base,400,182,94,106,18,0.659,0.91,0.765,0.816
MRPC (KEA BERT),AA-KEA (Our Method),400,192,163,37,8,0.541,0.96,0.692,0.668
MRPC (KEA BERT),ROUGE-1,400,186,113,87,14,0.622,0.93,0.745,0.784
MRPC (KEA BERT),ROUGE-2,400,180,120,80,20,0.6,0.9,0.72,0.721
MRPC (KEA BERT),ROUGE-L,400,186,124,76,14,0.6,0.93,0.729,0.76
MRPC (KEA BERT),BLEU,400,189,161,39,11,0.54,0.945,0.687,0.677
MRPC (KEA BERT),BERTScore,400,180,95,105,20,0.655,0.9,0.758,0.816
MRPC (KEA BERT),all-MiniLM-L6-v2,400,185,127,73,15,0.593,0.925,0.723,0.748
MRPC (KEA BERT),sentence-t5-base,400,182,94,106,18,0.659,0.91,0.765,0.816
MRPC (GNN),AA-KEA (Our Method),400,200,200,0,0,0.5,1.0,0.667,0.603
MRPC (GNN),ROUGE-1,400,186,113,87,14,0.622,0.93,0.745,0.784
MRPC (GNN),ROUGE-2,400,180,120,80,20,0.6,0.9,0.72,0.721
MRPC (GNN),ROUGE-L,400,186,124,76,14,0.6,0.93,0.729,0.76
MRPC (GNN),BLEU,400,189,161,39,11,0.54,0.945,0.687,0.677
MRPC (GNN),BERTScore,400,180,95,105,20,0.655,0.9,0.758,0.816
MRPC (GNN),all-MiniLM-L6-v2,400,185,127,73,15,0.593,0.925,0.723,0.748
MRPC (GNN),sentence-t5-base,400,182,94,106,18,0.659,0.91,0.765,0.816
PAWS-Wiki,AA-KEA (Our Method),400,172,78,122,28,0.688,0.86,0.764,0.731
PAWS-Wiki,ROUGE-1,400,198,186,14,2,0.516,0.99,0.678,0.49
PAWS-Wiki,ROUGE-2,400,187,136,64,13,0.579,0.935,0.715,0.721
PAWS-Wiki,ROUGE-L,400,166,86,114,34,0.659,0.83,0.735,0.807
PAWS-Wiki,BLEU,400,168,101,99,32,0.625,0.84,0.716,0.747
PAWS-Wiki,BERTScore,400,182,145,55,18,0.557,0.91,0.691,0.702
PAWS-Wiki,all-MiniLM-L6-v2,400,183,150,50,17,0.55,0.915,0.687,0.638
PAWS-Wiki,sentence-t5-base,400,182,158,42,18,0.535,0.91,0.674,0.668
Semantic-KG Codex,AA-KEA (Our Method),46,21,1,24,0,0.962,1.0,0.98,0.976
Semantic-KG Codex,ROUGE-1,46,18,4,21,3,0.827,0.86,0.843,0.887
Semantic-KG Codex,ROUGE-2,46,17,5,20,4,0.784,0.8,0.792,0.856
Semantic-KG Codex,ROUGE-L,46,17,5,20,4,0.774,0.82,0.796,0.819
Semantic-KG Codex,BLEU,46,18,4,21,3,0.824,0.84,0.832,0.877
Semantic-KG Codex,BERTScore,46,20,9,16,1,0.691,0.94,0.797,0.841
Semantic-KG Codex,all-MiniLM-L6-v2,46,18,5,20,3,0.792,0.84,0.816,0.89
Semantic-KG Codex,sentence-t5-base,46,18,3,22,3,0.86,0.86,0.86,0.908
Semantic-KG Combined,AA-KEA (Our Method),400,178,47,148,27,0.791,0.868,0.828,0.799
Semantic-KG Combined,ROUGE-1,400,190,124,71,15,0.605,0.927,0.732,0.728
Semantic-KG Combined,ROUGE-2,400,174,113,82,31,0.606,0.849,0.707,0.711
Semantic-KG Combined,ROUGE-L,400,196,142,53,9,0.58,0.956,0.722,0.717
Semantic-KG Combined,BLEU,400,192,140,55,13,0.578,0.937,0.715,0.708
Semantic-KG Combined,BERTScore,400,195,115,80,10,0.629,0.951,0.757,0.792
Semantic-KG Combined,all-MiniLM-L6-v2,400,204,121,74,1,0.628,0.995,0.77,0.789
Semantic-KG Combined,sentence-t5-base,400,192,99,96,13,0.66,0.937,0.774,0.828
Sem-KG Comb (WL),AA-KEA (Our Method),400,178,75,120,27,0.704,0.868,0.777,0.796
Sem-KG Comb (WL),ROUGE-1,400,190,124,71,15,0.605,0.927,0.732,0.728
Sem-KG Comb (WL),ROUGE-2,400,174,113,82,31,0.606,0.849,0.707,0.711
Sem-KG Comb (WL),ROUGE-L,400,196,142,53,9,0.58,0.956,0.722,0.717
Sem-KG Comb (WL),BLEU,400,192,140,55,13,0.578,0.937,0.715,0.708
Sem-KG Comb (WL),BERTScore,400,195,115,80,10,0.629,0.951,0.757,0.792
Sem-KG Comb (WL),all-MiniLM-L6-v2,400,204,121,74,1,0.628,0.995,0.77,0.789
Sem-KG Comb (WL),sentence-t5-base,400,192,99,96,13,0.66,0.937,0.774,0.828
Wiki Swap (AA-KEA),AA-KEA (Our Method),399,194,56,143,6,0.776,0.97,0.862,0.848
Wiki Swap (AA-KEA),ROUGE-1,399,200,0,199,0,1.0,1.0,1.0,1.0
Wiki Swap (AA-KEA),ROUGE-2,399,194,57,142,6,0.773,0.97,0.86,0.772
Wiki Swap (AA-KEA),ROUGE-L,399,200,149,50,0,0.573,1.0,0.729,0.311
Wiki Swap (AA-KEA),BLEU,399,197,57,142,3,0.776,0.985,0.868,0.745
Wiki Swap (AA-KEA),BERTScore,399,190,119,80,10,0.615,0.95,0.747,0.645
Wiki Swap (AA-KEA),all-MiniLM-L6-v2,399,188,70,129,12,0.729,0.94,0.821,0.811
Wiki Swap (AA-KEA),sentence-t5-base,399,197,117,82,3,0.627,0.985,0.767,0.79
Wiki Swap (WL),AA-KEA (Our Method),399,196,87,112,4,0.693,0.98,0.812,0.885
Wiki Swap (WL),ROUGE-1,399,200,0,199,0,1.0,1.0,1.0,1.0
Wiki Swap (WL),ROUGE-2,399,194,57,142,6,0.773,0.97,0.86,0.772
Wiki Swap (WL),ROUGE-L,399,200,149,50,0,0.573,1.0,0.729,0.311
Wiki Swap (WL),BLEU,399,197,57,142,3,0.776,0.985,0.868,0.745
Wiki Swap (WL),BERTScore,399,190,119,80,10,0.615,0.95,0.747,0.645
Wiki Swap (WL),all-MiniLM-L6-v2,399,188,70,129,12,0.729,0.94,0.821,0.811
Wiki Swap (WL),sentence-t5-base,399,197,117,82,3,0.627,0.985,0.767,0.79
Wiki Swap WL Clean,AA-KEA (Our Method),388,196,76,112,4,0.721,0.98,0.831,0.901
Wiki Swap WL Clean,ROUGE-1,388,200,0,188,0,1.0,1.0,1.0,1.0
Wiki Swap WL Clean,ROUGE-2,388,194,46,142,6,0.808,0.97,0.882,0.806
Wiki Swap WL Clean,ROUGE-L,388,200,138,50,0,0.592,1.0,0.743,0.329
Wiki Swap WL Clean,BLEU,388,197,46,142,3,0.811,0.985,0.889,0.783
Wiki Swap WL Clean,BERTScore,388,190,108,80,10,0.638,0.95,0.763,0.677
Wiki Swap WL Clean,all-MiniLM-L6-v2,388,188,59,129,12,0.761,0.94,0.841,0.827
Wiki Swap WL Clean,sentence-t5-base,388,197,106,82,3,0.65,0.985,0.783,0.808
MRPC (SNEA-BERT),SNEA-BERT (Our Method),400,178,146,54,22,0.549,0.89,0.679,0.664
MRPC (SNEA-BERT),ROUGE-1,400,186,113,87,14,0.622,0.93,0.745,0.784
MRPC (SNEA-BERT),ROUGE-2,400,180,120,80,20,0.6,0.9,0.72,0.721
MRPC (SNEA-BERT),ROUGE-L,400,186,124,76,14,0.6,0.93,0.729,0.76
MRPC (SNEA-BERT),BLEU,400,189,161,39,11,0.54,0.945,0.687,0.677
MRPC (SNEA-BERT),BERTScore,400,180,95,105,20,0.655,0.9,0.758,0.816
MRPC (SNEA-BERT),all-MiniLM-L6-v2,400,185,127,73,15,0.593,0.925,0.723,0.748
MRPC (SNEA-BERT),sentence-t5-base,400,182,94,106,18,0.659,0.91,0.765,0.816
PAWS-Wiki (SNEA-BERT),SNEA-BERT (Our Method),400,170,74,126,30,0.697,0.85,0.766,0.795
PAWS-Wiki (SNEA-BERT),ROUGE-1,400,198,186,14,2,0.516,0.99,0.678,0.49
PAWS-Wiki (SNEA-BERT),ROUGE-2,400,187,136,64,13,0.579,0.935,0.715,0.721
PAWS-Wiki (SNEA-BERT),ROUGE-L,400,166,86,114,34,0.659,0.83,0.735,0.807
PAWS-Wiki (SNEA-BERT),BLEU,400,168,101,99,32,0.625,0.84,0.716,0.747
PAWS-Wiki (SNEA-BERT),BERTScore,400,182,145,55,18,0.557,0.91,0.691,0.702
PAWS-Wiki (SNEA-BERT),all-MiniLM-L6-v2,400,183,150,50,17,0.55,0.915,0.687,0.638
PAWS-Wiki (SNEA-BERT),sentence-t5-base,400,182,158,42,18,0.535,0.91,0.674,0.668
Semantic-KG (SNEA-BERT),SNEA-BERT (Our Method),400,178,44,151,27,0.802,0.868,0.834,0.829
Semantic-KG (SNEA-BERT),ROUGE-1,400,190,124,71,15,0.605,0.927,0.732,0.728
Semantic-KG (SNEA-BERT),ROUGE-2,400,174,113,82,31,0.606,0.849,0.707,0.711
Semantic-KG (SNEA-BERT),ROUGE-L,400,196,142,53,9,0.58,0.956,0.722,0.717
Semantic-KG (SNEA-BERT),BLEU,400,192,140,55,13,0.578,0.937,0.715,0.708
Semantic-KG (SNEA-BERT),BERTScore,400,195,115,80,10,0.629,0.951,0.757,0.792
Semantic-KG (SNEA-BERT),all-MiniLM-L6-v2,400,204,121,74,1,0.628,0.995,0.77,0.789
Semantic-KG (SNEA-BERT),sentence-t5-base,400,192,99,96,13,0.66,0.937,0.774,0.828
Wiki Swap (SNEA-BERT),SNEA-BERT (Our Method),399,185,69,130,15,0.728,0.925,0.815,0.833
Wiki Swap (SNEA-BERT),ROUGE-1,399,200,0,199,0,1.0,1.0,1.0,1.0
Wiki Swap (SNEA-BERT),ROUGE-2,399,194,57,142,6,0.773,0.97,0.86,0.772
Wiki Swap (SNEA-BERT),ROUGE-L,399,200,149,50,0,0.573,1.0,0.729,0.311
Wiki Swap (SNEA-BERT),BLEU,399,197,57,142,3,0.776,0.985,0.868,0.745
Wiki Swap (SNEA-BERT),BERTScore,399,190,119,80,10,0.615,0.95,0.747,0.645
Wiki Swap (SNEA-BERT),all-MiniLM-L6-v2,399,188,70,129,12,0.729,0.94,0.821,0.811
Wiki Swap (SNEA-BERT),sentence-t5-base,399,197,117,82,3,0.627,0.985,0.767,0.79
Semantic-KG Codex 400 (SNEA-BERT),SNEA-BERT (Our Method),400,186,20,180,14,0.903,0.93,0.916,0.944
Semantic-KG Codex 400 (SNEA-BERT),ROUGE-1,400,177,47,153,23,0.79,0.885,0.835,0.917
Semantic-KG Codex 400 (SNEA-BERT),ROUGE-2,400,175,51,149,25,0.774,0.875,0.822,0.894
Semantic-KG Codex 400 (SNEA-BERT),ROUGE-L,400,187,85,115,13,0.688,0.935,0.792,0.855
Semantic-KG Codex 400 (SNEA-BERT),BLEU,400,162,40,160,38,0.802,0.81,0.806,0.884
Semantic-KG Codex 400 (SNEA-BERT),BERTScore,400,191,73,127,9,0.723,0.955,0.823,0.916
Semantic-KG Codex 400 (SNEA-BERT),all-MiniLM-L6-v2,400,179,30,170,21,0.856,0.895,0.875,0.943
Semantic-KG Codex 400 (SNEA-BERT),sentence-t5-base,400,180,33,167,20,0.845,0.9,0.872,0.945
Semantic-KG FindKG (SNEA-BERT),SNEA-BERT (Our Method),400,175,104,96,25,0.627,0.875,0.731,0.764
Semantic-KG FindKG (SNEA-BERT),ROUGE-1,400,187,115,85,13,0.619,0.935,0.745,0.745
Semantic-KG FindKG (SNEA-BERT),ROUGE-2,400,167,99,101,33,0.628,0.835,0.717,0.706
Semantic-KG FindKG (SNEA-BERT),ROUGE-L,400,170,103,97,30,0.623,0.85,0.719,0.721
Semantic-KG FindKG (SNEA-BERT),BLEU,400,170,108,92,30,0.612,0.85,0.711,0.71
Semantic-KG FindKG (SNEA-BERT),BERTScore,400,184,114,86,16,0.617,0.92,0.739,0.761
Semantic-KG FindKG (SNEA-BERT),all-MiniLM-L6-v2,400,193,88,112,7,0.687,0.965,0.802,0.844
Semantic-KG FindKG (SNEA-BERT),sentence-t5-base,400,195,65,135,5,0.75,0.975,0.848,0.902
Semantic-KG GloBI (SNEA-BERT),SNEA-BERT (Our Method),400,181,27,173,19,0.87,0.905,0.887,0.931
Semantic-KG GloBI (SNEA-BERT),ROUGE-1,400,192,98,102,8,0.662,0.96,0.784,0.833
Semantic-KG GloBI (SNEA-BERT),ROUGE-2,400,170,68,132,30,0.714,0.85,0.776,0.833
Semantic-KG GloBI (SNEA-BERT),ROUGE-L,400,188,105,95,12,0.642,0.94,0.763,0.8
Semantic-KG GloBI (SNEA-BERT),BLEU,400,189,99,101,11,0.656,0.945,0.775,0.819
Semantic-KG GloBI (SNEA-BERT),BERTScore,400,188,73,127,12,0.72,0.94,0.816,0.871
Semantic-KG GloBI (SNEA-BERT),all-MiniLM-L6-v2,400,190,97,103,10,0.662,0.95,0.78,0.817
Semantic-KG GloBI (SNEA-BERT),sentence-t5-base,400,189,129,71,11,0.594,0.945,0.73,0.761
Semantic-KG Oregano (SNEA-BERT),SNEA-BERT (Our Method),400,192,88,112,8,0.686,0.96,0.8,0.873
Semantic-KG Oregano (SNEA-BERT),ROUGE-1,400,188,117,83,12,0.616,0.94,0.745,0.782
Semantic-KG Oregano (SNEA-BERT),ROUGE-2,400,182,102,98,18,0.641,0.91,0.752,0.791
Semantic-KG Oregano (SNEA-BERT),ROUGE-L,400,175,67,133,25,0.723,0.875,0.792,0.835
Semantic-KG Oregano (SNEA-BERT),BLEU,400,171,88,112,29,0.66,0.855,0.745,0.794
Semantic-KG Oregano (SNEA-BERT),BERTScore,400,192,125,75,8,0.606,0.96,0.743,0.798
Semantic-KG Oregano (SNEA-BERT),all-MiniLM-L6-v2,400,175,78,122,25,0.692,0.875,0.773,0.814
Semantic-KG Oregano (SNEA-BERT),sentence-t5-base,400,168,52,148,32,0.764,0.84,0.8,0.871
STS12 (SNEA-BERT),SNEA-BERT (Our Method),400,163,66,134,37,0.712,0.815,0.76,0.796
STS12 (SNEA-BERT),ROUGE-1,400,175,108,92,25,0.618,0.875,0.725,0.754
STS12 (SNEA-BERT),ROUGE-2,400,175,139,61,25,0.557,0.875,0.681,0.656
STS12 (SNEA-BERT),ROUGE-L,400,168,110,90,32,0.604,0.84,0.703,0.71
STS12 (SNEA-BERT),BLEU,400,171,139,61,29,0.552,0.855,0.671,0.644
STS12 (SNEA-BERT),BERTScore,400,197,181,19,3,0.521,0.985,0.682,0.636
STS12 (SNEA-BERT),all-MiniLM-L6-v2,400,180,52,148,20,0.776,0.9,0.833,0.894
STS12 (SNEA-BERT),sentence-t5-base,400,181,42,158,19,0.812,0.905,0.856,0.928
MRPC (SNEA-BERT α=0.3),SNEA-BERT α=0.3 (Our Method),400,174,129,71,26,0.574,0.87,0.692,0.673
MRPC (SNEA-BERT α=0.3),ROUGE-1,400,186,113,87,14,0.622,0.93,0.745,0.784
MRPC (SNEA-BERT α=0.3),ROUGE-2,400,180,120,80,20,0.6,0.9,0.72,0.721
MRPC (SNEA-BERT α=0.3),ROUGE-L,400,186,124,76,14,0.6,0.93,0.729,0.76
MRPC (SNEA-BERT α=0.3),BLEU,400,189,161,39,11,0.54,0.945,0.687,0.677
MRPC (SNEA-BERT α=0.3),BERTScore,400,180,95,105,20,0.655,0.9,0.758,0.816
MRPC (SNEA-BERT α=0.3),all-MiniLM-L6-v2,400,185,127,73,15,0.593,0.925,0.723,0.748
MRPC (SNEA-BERT α=0.3),sentence-t5-base,400,182,94,106,18,0.659,0.91,0.765,0.816
PAWS-Wiki (SNEA-BERT α=0.3),SNEA-BERT α=0.3 (Our Method),400,168,72,128,32,0.7,0.84,0.764,0.793
PAWS-Wiki (SNEA-BERT α=0.3),ROUGE-1,400,198,186,14,2,0.516,0.99,0.678,0.49
PAWS-Wiki (SNEA-BERT α=0.3),ROUGE-2,400,187,136,64,13,0.579,0.935,0.715,0.721
PAWS-Wiki (SNEA-BERT α=0.3),ROUGE-L,400,166,86,114,34,0.659,0.83,0.735,0.807
PAWS-Wiki (SNEA-BERT α=0.3),BLEU,400,168,101,99,32,0.625,0.84,0.716,0.747
PAWS-Wiki (SNEA-BERT α=0.3),BERTScore,400,182,145,55,18,0.557,0.91,0.691,0.702
PAWS-Wiki (SNEA-BERT α=0.3),all-MiniLM-L6-v2,400,183,150,50,17,0.55,0.915,0.687,0.638
PAWS-Wiki (SNEA-BERT α=0.3),sentence-t5-base,400,182,158,42,18,0.535,0.91,0.674,0.668
Semantic-KG (SNEA-BERT α=0.3),SNEA-BERT α=0.3 (Our Method),400,174,46,154,26,0.791,0.868,0.828,0.83
Semantic-KG (SNEA-BERT α=0.3),ROUGE-1,400,185,121,79,15,0.605,0.927,0.732,0.728
Semantic-KG (SNEA-BERT α=0.3),ROUGE-2,400,170,110,90,30,0.606,0.849,0.707,0.711
Semantic-KG (SNEA-BERT α=0.3),ROUGE-L,400,191,138,62,9,0.58,0.956,0.722,0.717
Semantic-KG (SNEA-BERT α=0.3),BLEU,400,187,136,64,13,0.578,0.937,0.715,0.708
Semantic-KG (SNEA-BERT α=0.3),BERTScore,400,190,112,88,10,0.629,0.951,0.757,0.792
Semantic-KG (SNEA-BERT α=0.3),all-MiniLM-L6-v2,400,199,118,82,1,0.628,0.995,0.77,0.789
Semantic-KG (SNEA-BERT α=0.3),sentence-t5-base,400,187,96,104,13,0.66,0.937,0.774,0.828
Wiki Swap (SNEA-BERT α=0.3),SNEA-BERT α=0.3 (Our Method),400,200,199,1,0,0.501,1.0,0.668,0.48
Wiki Swap (SNEA-BERT α=0.3),ROUGE-1,400,200,0,200,0,1.0,1.0,1.0,1.0
Wiki Swap (SNEA-BERT α=0.3),ROUGE-2,400,194,57,143,6,0.773,0.97,0.86,0.772
Wiki Swap (SNEA-BERT α=0.3),ROUGE-L,400,200,149,51,0,0.573,1.0,0.729,0.311
Wiki Swap (SNEA-BERT α=0.3),BLEU,400,197,57,143,3,0.776,0.985,0.868,0.745
Wiki Swap (SNEA-BERT α=0.3),BERTScore,400,190,119,81,10,0.615,0.95,0.747,0.645
Wiki Swap (SNEA-BERT α=0.3),all-MiniLM-L6-v2,400,188,70,130,12,0.729,0.94,0.821,0.811
Wiki Swap (SNEA-BERT α=0.3),sentence-t5-base,400,197,117,83,3,0.627,0.985,0.767,0.79
Semantic-KG Codex 400 (SNEA-α=0.3),SNEA-BERT α=0.3 (Our Method),400,184,20,180,16,0.902,0.92,0.911,0.945
Semantic-KG Codex 400 (SNEA-α=0.3),ROUGE-1,400,177,47,153,23,0.79,0.885,0.835,0.917
Semantic-KG Codex 400 (SNEA-α=0.3),ROUGE-2,400,175,51,149,25,0.774,0.875,0.822,0.894
Semantic-KG Codex 400 (SNEA-α=0.3),ROUGE-L,400,187,85,115,13,0.688,0.935,0.792,0.855
Semantic-KG Codex 400 (SNEA-α=0.3),BLEU,400,162,40,160,38,0.802,0.81,0.806,0.884
Semantic-KG Codex 400 (SNEA-α=0.3),BERTScore,400,191,73,127,9,0.723,0.955,0.823,0.916
Semantic-KG Codex 400 (SNEA-α=0.3),all-MiniLM-L6-v2,400,179,30,170,21,0.856,0.895,0.875,0.943
Semantic-KG Codex 400 (SNEA-α=0.3),sentence-t5-base,400,180,33,167,20,0.845,0.9,0.872,0.945
Semantic-KG FindKG (SNEA-α=0.3),SNEA-BERT α=0.3 (Our Method),400,177,103,97,23,0.632,0.885,0.738,0.772
Semantic-KG FindKG (SNEA-α=0.3),ROUGE-1,400,187,115,85,13,0.619,0.935,0.745,0.745
Semantic-KG FindKG (SNEA-α=0.3),ROUGE-2,400,167,99,101,33,0.628,0.835,0.717,0.706
Semantic-KG FindKG (SNEA-α=0.3),ROUGE-L,400,170,103,97,30,0.623,0.85,0.719,0.721
Semantic-KG FindKG (SNEA-α=0.3),BLEU,400,170,108,92,30,0.612,0.85,0.711,0.71
Semantic-KG FindKG (SNEA-α=0.3),BERTScore,400,184,114,86,16,0.617,0.92,0.739,0.761
Semantic-KG FindKG (SNEA-α=0.3),all-MiniLM-L6-v2,400,193,88,112,7,0.687,0.965,0.802,0.844
Semantic-KG FindKG (SNEA-α=0.3),sentence-t5-base,400,195,65,135,5,0.75,0.975,0.848,0.902
Semantic-KG GloBI (SNEA-α=0.3),SNEA-BERT α=0.3 (Our Method),400,180,26,174,20,0.874,0.9,0.887,0.932
Semantic-KG GloBI (SNEA-α=0.3),ROUGE-1,400,192,98,102,8,0.662,0.96,0.784,0.833
Semantic-KG GloBI (SNEA-α=0.3),ROUGE-2,400,170,68,132,30,0.714,0.85,0.776,0.833
Semantic-KG GloBI (SNEA-α=0.3),ROUGE-L,400,188,105,95,12,0.642,0.94,0.763,0.8
Semantic-KG GloBI (SNEA-α=0.3),BLEU,400,189,99,101,11,0.656,0.945,0.775,0.819
Semantic-KG GloBI (SNEA-α=0.3),BERTScore,400,188,73,127,12,0.72,0.94,0.816,0.871
Semantic-KG GloBI (SNEA-α=0.3),all-MiniLM-L6-v2,400,190,97,103,10,0.662,0.95,0.78,0.817
Semantic-KG GloBI (SNEA-α=0.3),sentence-t5-base,400,189,129,71,11,0.594,0.945,0.73,0.761
Semantic-KG Oregano (SNEA-α=0.3),SNEA-BERT α=0.3 (Our Method),400,190,84,116,10,0.693,0.95,0.802,0.873
Semantic-KG Oregano (SNEA-α=0.3),ROUGE-1,400,188,117,83,12,0.616,0.94,0.745,0.782
Semantic-KG Oregano (SNEA-α=0.3),ROUGE-2,400,182,102,98,18,0.641,0.91,0.752,0.791
Semantic-KG Oregano (SNEA-α=0.3),ROUGE-L,400,175,67,133,25,0.723,0.875,0.792,0.835
Semantic-KG Oregano (SNEA-α=0.3),BLEU,400,171,88,112,29,0.66,0.855,0.745,0.794
Semantic-KG Oregano (SNEA-α=0.3),BERTScore,400,192,125,75,8,0.606,0.96,0.743,0.798
Semantic-KG Oregano (SNEA-α=0.3),all-MiniLM-L6-v2,400,175,78,122,25,0.692,0.875,0.773,0.814
Semantic-KG Oregano (SNEA-α=0.3),sentence-t5-base,400,168,52,148,32,0.764,0.84,0.8,0.871
STS12 (SNEA-α=0.3),SNEA-BERT α=0.3 (Our Method),400,164,65,135,36,0.716,0.82,0.765,0.802
STS12 (SNEA-α=0.3),ROUGE-1,400,175,108,92,25,0.618,0.875,0.725,0.754
STS12 (SNEA-α=0.3),ROUGE-2,400,175,139,61,25,0.557,0.875,0.681,0.656
STS12 (SNEA-α=0.3),ROUGE-L,400,168,110,90,32,0.604,0.84,0.703,0.71
STS12 (SNEA-α=0.3),BLEU,400,171,139,61,29,0.552,0.855,0.671,0.644
STS12 (SNEA-α=0.3),BERTScore,400,197,181,19,3,0.521,0.985,0.682,0.636
STS12 (SNEA-α=0.3),all-MiniLM-L6-v2,400,180,52,148,20,0.776,0.9,0.833,0.894
STS12 (SNEA-α=0.3),sentence-t5-base,400,181,42,158,19,0.812,0.905,0.856,0.928
MRPC (SNEA-α=0.0),SNEA-BERT α=0.0 (Our Method),400,184,160,40,16,0.535,0.92,0.676,0.654
MRPC (SNEA-α=0.0),ROUGE-1,400,186,113,87,14,0.622,0.93,0.745,0.784
MRPC (SNEA-α=0.0),ROUGE-2,400,180,120,80,20,0.6,0.9,0.72,0.721
MRPC (SNEA-α=0.0),ROUGE-L,400,186,124,76,14,0.6,0.93,0.729,0.76
MRPC (SNEA-α=0.0),BLEU,400,189,161,39,11,0.54,0.945,0.687,0.677
MRPC (SNEA-α=0.0),BERTScore,400,180,95,105,20,0.655,0.9,0.758,0.816
MRPC (SNEA-α=0.0),all-MiniLM-L6-v2,400,185,127,73,15,0.593,0.925,0.723,0.748
MRPC (SNEA-α=0.0),sentence-t5-base,400,183,95,105,17,0.658,0.915,0.766,0.816
MRPC (SNEA-α=0.1),SNEA-BERT α=0.1 (Our Method),400,176,141,59,24,0.555,0.88,0.681,0.664
MRPC (SNEA-α=0.1),ROUGE-1,400,186,113,87,14,0.622,0.93,0.745,0.784
MRPC (SNEA-α=0.1),ROUGE-2,400,180,120,80,20,0.6,0.9,0.72,0.721
MRPC (SNEA-α=0.1),ROUGE-L,400,186,124,76,14,0.6,0.93,0.729,0.76
MRPC (SNEA-α=0.1),BLEU,400,189,161,39,11,0.54,0.945,0.687,0.677
MRPC (SNEA-α=0.1),BERTScore,400,180,95,105,20,0.655,0.9,0.758,0.816
MRPC (SNEA-α=0.1),all-MiniLM-L6-v2,400,185,127,73,15,0.593,0.925,0.723,0.748
MRPC (SNEA-α=0.1),sentence-t5-base,400,183,95,105,17,0.658,0.915,0.766,0.816
MRPC (SNEA-α=0.2),SNEA-BERT α=0.2 (Our Method),400,171,130,70,29,0.568,0.855,0.683,0.669
MRPC (SNEA-α=0.2),ROUGE-1,400,186,113,87,14,0.622,0.93,0.745,0.784
MRPC (SNEA-α=0.2),ROUGE-2,400,180,120,80,20,0.6,0.9,0.72,0.721
MRPC (SNEA-α=0.2),ROUGE-L,400,186,124,76,14,0.6,0.93,0.729,0.76
MRPC (SNEA-α=0.2),BLEU,400,189,161,39,11,0.54,0.945,0.687,0.677
