row_id,sentence1,sentence2,score
134,"The Dow Jones industrial average .DJI was off 58.69 points, or 0.64 percent, at 9,137.86.","The blue-chip Dow Jones industrial average .DJI fell 86.56 points, or 0.94 percent, to 9,109.99, after giving up more than 1 percent earlier.",0.5
135,Peace Rules defeated Funny Cide in the Louisiana Derby.,But neither he nor Peace Rules could keep Funny Cide from drawing away.,0.45
136,Waksal has pleaded guilty to securities fraud and is to be sentenced next week.,"Waksal pleaded guilty to insider trading charges last year, and he is scheduled to be sentenced June 10.",0.7
137,He allowed two runs in seven innings and struck out six.,Zambrano pitched seven innings and allowed two runs on five hits and four walks.,0.7
138,"Still, he said, ""I'm absolutely confident we're going to have a bill.""","""I'm absolutely confident we're going to have a bill,"" Frist, R-Tenn., said Thursday.",0.6
139,Boeing said the final agreement is expected to be signed during the next few weeks.,"The Korean Air deal is expected to be finalized ""in the next several weeks,"" Boeing spokesman Bob Saling said.",0.6
140,"Shares in EDS closed on Thursday at $18.51, a gain of 6 cents.","Shares of EDS closed Thursday at $18.51, up 6 cents on the New York Stock Exchange.",0.7333999999999999
141,"Nationally, the federal Centers for Disease Control and Prevention recorded 4,156 cases of West Nile, including 284 deaths.","There were 293 human cases of West Nile in Indiana in 2002, including 11 deaths statewide.",0.3334
142,A divided Supreme Court ruled Monday that Congress can force the nation's public libraries to equip computers with anti-pornography filters.,"The Supreme Court said Monday the government can require public libraries to equip computers with anti-pornography filters, rejecting librarians' complaints that the law amounts to censorship.",0.72
143,The weakness exists in the way that VBA looks at the properties of documents passed to it when the document is opened by a host application.,The vulnerability exists in the way Microsoft's Visual Basic for Applications checks document properties passed to it when a document is opened.,0.76
144,"Of 24 million phoned-in votes, 50.28 percent were for Studdard, putting him 130,000 votes ahead of Aiken.","Of the 24 million phone votes cast, Studdard was only 130,000 votes ahead of Aiken.",0.6799999999999999
145,Consumers still would have to get a descrambling security card from their cable operator to plug into the set.,"To watch pay television, consumers would insert into the set a security card provided by their cable service.",0.6799999999999999
146,"However, we have decided to opt for the European consortium's engine as the best overall solution and due to the substantial price efforts made"".","However, we have decided to opt for the European consortium's engine as the best overall solution.""",0.76
147,"The Food and Drug Administration rejected ImClone's 2001 application to sell Erbitux, citing shoddy research.","The U.S. Food and Drug Administration rejected ImClone's original application in December 2001, saying the trial had been sloppily conducted.",0.5599999999999999
148,"Critics say the law violates civil liberties, something House Judiciary Committee Chairman James Sensenbrenner, R-Wis., says he is sensitive to.","House Judiciary Committee Chairman James Sensenbrenner, R-Wis., says he is sensitive to civil liberties complaints.",0.75
149,"The Dodgers won their sixth consecutive game their longest win streak since 2001 as they edged Colorado, 3-2, Wednesday in front of a crowd of 25,332 at Dodger Stadium.","The Dodgers won their sixth consecutive game and seventh in their last nine as they beat Colorado 3-2 on Wednesday in front of a crowd of 25,332 at Dodger Stadium.",0.8800000000000001
150,"So far, they have searched Pennsylvania, Ohio, Michigan, Illinois and Indiana, authorities in those state said.","So far, authorities also have searched areas in Pennsylvania, Ohio, Indiana, and Michigan.",0.75
151,"The 30-year bond US30YT=RR firmed 31/32, taking its yield to 4.16 percent -- another record low -- from 4.22 percent.","The 30-year bond <US30YT=RR> firmed 24/32, taking its yield to 4.18 percent, after hitting another record low of 4.16 percent.",0.55
152,"On Thursday, a Washington Post article argued that a 50 basis point cut from the Fed was more likely, contrary to the Wall Street Journal's line.","On Thursday, a Post article argued that a 50 basis point cut from the Fed was more likely.",0.75
153,"Mr. Heatley, who suffered a broken jaw and torn knee ligaments, faces several charges.",Heatley underwent surgery Saturday for a broken jaw and an MRI found two torn ligaments in his right knee.,0.45
154,Lay had argued that handing over the documents would be a violation of his Fifth Amendment rights against self-incrimination.,"Lay had refused to turn over the papers, asserting his Fifth Amendment right against self-incrimination.",0.76
155,Strayhorn said it was the first time in Texas history a comptroller had not certified the appropriations act.,"In a news release Thursday, Strayhorn said this was the first time a comptroller rejected a budget.",0.64
156,"Excluding the charges, analysts, on average, expected a loss of 11 cents a share.",Analysts polled by Thomson Financial First Call had been expected to see a loss of about 11 cents a share from continuing operations.,0.76
157,"Security experts are warning that a new mass-mailing worm is spreading widely across the Internet, sometimes posing as e-mail from the Microsoft founder.","A new worm has been spreading rapidly across the Internet, sometimes pretending to be an e-mail from Microsoft Chairman Bill Gates, antivirus vendors said Monday.",0.96
158,Mr Sahel said police had identified the bodies of seven of the 14-strong cell believed to have carried out the five almost simultaneous attacks on Saturday.,He said police had identified the bodies of seven of the 14 bombers who launched five almost simultaneous raids Friday night.,0.8
159,"Only New Jersey now bans holders of learners permits or intermediate licenses from using cell phones, pagers or other wireless devices while driving.","In addition, the NTSB also recommended to NHTSA that state legislation be enacted to prohibit holders of learners permits and intermediate licenses from using mobile phones while driving.",0.2799999999999999
160,The University of Michigan released today a new admissions policy after the U.S. Supreme Court struck down in June the way it previously admitted undergraduates.,The University of Michigan plans to release a new undergraduate admissions policy Thursday after its acceptance requirements were rejected by the U.S. Supreme Court in June.,0.8400000000000001
161,The audiotape aired last week by the Arab Al-Jazeera television network appears to be an effort to incite attacks.,An audiotape aired last week by the Arab al-Jazeera television network may be the strongest evidence yet that Saddam survived the war.,0.36
162,Former company chief financial officer Franklyn M. Bergonzi pleaded guilty to one count of conspiracy on June 5 and agreed to cooperate with prosecutors.,"Last week, former chief financial officer Franklyn Bergonzi pleaded guilty to one count of conspiracy and agreed to cooperate with the government's investigation.",0.8400000000000001
163,The company didn't detail the costs of the replacement and repairs.,But company officials expect the costs of the replacement work to run into the millions of dollars.,0.4
164,"Dean told reporters traveling on his 10-city ""Sleepless Summer"" tour that he considered campaigning in Texas a challenge.","Today, Dean ends his four-day, 10-city ""Sleepless Summer"" tour in Chicago and New York.",0.52
165,"""I felt that if I disagreed with Rosie too much I would lose my job,"" she said.","Cavender did say: ""I felt that if I disagreed with Rosie too much I would lose my job.""",0.65
166,The device plays Internet radio streams and comes with a 30-day trial of RealNetworks' Rhapsody music service.,The product also streams Internet radio and comes with a 30-day free trial for RealNetworks' Rhapsody digital music subscription service.,1.0
167,"The dollar fell as low as $1.1624 per euro from $1.1486 on Friday, and traded at $1.1594 at 10:15 a.m. in London.",The dollar dropped to $1.1564 per euro at 7:30 a.m. in London from $1.1486 on Friday.,0.6
168,"The American decision provoked an angry reaction from the European Commission, which described the move as ""legally unwarranted, economically unfounded and politically unhelpful"".","The European Commission, the EU's powerful executive body, described the move as ""legally unwarranted, economically unfounded and politically unhelpful.""",0.75
169,"Ms. Cripps-Prawak left last Friday, two days after the department introduced a plan to distribute medical marijuana through doctors' offices.","The director of the Office of Medical Access, Cindy Cripps-Prawak, left her job after the department introduced a plan to distribute marijuana through doctors' offices.",0.85
170,"During 2001 and 2002, Morgenthau said, wire transfers from just four of Beacon Hill's 40 accounts totaled more than $3.2 billion.","Wire transfers from four of the 40 accounts open at Beacon Hill totaled more than $3.2 billion from 2001 to 2002, Morgenthau said.",0.95
171,"Last year, he made an unsuccessful bid for the Democratic nomination for governor.","He ran last year for the Democratic nomination for Texas governor, but lost the primary to multimillionaire Tony Sanchez.",0.65
172,"The nation's largest retailer has told its 100 top suppliers they have to start using electronic tags on all pallets of goods by Jan. 25, 2005.","Wal-Mart has told its top 100 suppliers that they'll need to have radio-frequency ID systems in place for tracking pallets of goods through the supply chain by Jan. 25, 2005.",0.75
173,He was taken to a hospital for precautionary X-rays on his neck.,"Harvey was taken to St. Luke's Hospital for precautionary neck X-rays, which came back negative.",0.65
174,"During the hearing, Morales expressed ""sincere regrets and remorse"" for his actions.","Morales, who pleaded guilty in July, expressed ""sincere regret and remorse"" for his crimes.",0.76
175,The bill says that a woman who undergoes such an abortion couldn't be prosecuted.,A woman who underwent such an abortion could not be prosecuted under the bill.,1.0
176,U.S. District Judge Edmund Sargus ruled that the Akron-based company should have determined that changes at one of its plants would increase overall pollution emissions.,"FirstEnergy Corp. should have determined that modernizing one of its plants would increase overall pollution emissions, U.S. District Judge Edmund Sargus ruled Thursday.",0.72
177,"Site Finder has been visited 65 million times since its introduction, Galvin said.","Through Sunday, Sept. 21, Site Finder has been visited over 65 million times by Internet users.",0.76
178,There are 103 Democrats in the Assembly and 47 Republicans.,Democrats dominate the Assembly while Republicans control the Senate.,0.4
179,"Mr Pollard said: ""This is a terrible personal tragedy and a shocking blow for James's family.","Nick Pollard, the head of Sky News said: ""This is a shocking blow for James's family.",0.6799999999999999
180,"""I came basically to Washington to establish relationships and to make sure that we are getting more federal money to California,"" Schwarzenegger said after meeting with congressional Republicans.","""I came to Washington basically to establish relationships and make sure we are getting more federal money,"" Schwarzenegger said after one meeting.",0.8400000000000001
181,"The latest snapshot of the labor markets was slightly better than economists were expecting; they were forecasting claims to fall no lower than 410,000 for last week.","Despite problems in the job market, the latest snapshot of the labor markets was slightly better than economists were expecting.",0.6799999999999999
182,"""They were tossed around like feathers,"" Gordon said.","""The concrete barriers (between lanes) were being tossed around like feathers.""",0.6
183,"Chante Jawan Mallard, 27, went on trial Monday, charged with first-degree murder.","Chante Jawaon Mallard, 27, is charged with murder and tampering with evidence.",0.6
184,"""IT is the only vehicle on which established economies will be able to compete,"" Barrett said.","""IT is the only vehicle on which established economies will be able to compete"" with fast-growing economies such as China and India, Barrett said.",0.65
185,"Linda Saunders pleaded guilty in federal court to six charges, including extortion, money laundering and conspiracy.",Former Phipps aides Linda Saunders and Bobby McLamb have both pleaded guilty to federal charges including extortion.,0.55
186,Vivendi shares closed 3.8 percent up in Paris at 15.78 euros.,Vivendi shares were 0.3 percent up at 15.62 euros in Paris at 0841 GMT.,0.52
187,Microsoft has identified the freely distributed Linux software as one of the biggest threats to its sales.,The company has publicly identified Linux as one of its biggest competitive threats.,0.6799999999999999
188,"Antonio Monteiro de Castro, 58, currently director of the group’s Latin America & Caribbean operations, will become chief operating officer from the same date.","BAT also said Antonio Monteiro de Castro, director for Latin America and the Caribbean, would become chief operating officer on January 1, 2004.",0.72
189,"""Spin and manipulative public relations and propaganda are not the answer,"" it said.","The report added that ""spin"" and manipulative public relations ""are not the answer,"" but that neither is avoiding the debate.",0.72
190,"Another shooting linked to the spree occurred Nov. 11 at Hamilton Central Elementary in Obetz, about two miles from the freeway.","The latest shooting linked to the spree was a Nov. 11 shooting at Hamilton Township Elementary School in Obetz, about two miles from the freeway.",0.96
191,"On Tuesday, the central bank left interest rates steady, as expected, but also declared that overall risks were weighted toward weakness and warned of deflation risks.","The central bank's policy board left rates steady for now, as widely expected, but surprised the market by declaring that overall risks were weighted toward weakness.",0.8
192,"The new system costs between $1.1 million and $22 million, depending on configuration.","The system is priced from US$1.1 million to $22.4 million, depending on configuration.",0.72
193,Fighting erupted after four North Korean journalists confronted a dozen South Korean activists protesting human rights abuses in the North outside the main media centre.,Trouble flared when at least four North Korean reporters rushed from the Taegu media centre to confront a dozen activists protesting against human rights abuses in the North.,0.6799999999999999
194,Dusty had battled kidney cancer for more than a year.,Dusty had surgery for cancer in 2001 and had a kidney removed.,0.48
195,"According to SunnComm's Peter Jacobs, ""MediaMax performs exactly as 'advertised' to the companies who purchased it.","""MediaMax performs EXACTLY as ""advertised"" to the companies who purchased it,"" Jacobs said in the statement.",0.8444
196,"Kadyrov was not injured, but four of his bodyguards were among those killed.",But Itar-Tass news agency said four of his bodyguards were among those killed by the bomb.,0.6
197,"The router will be available in the first quarter of 2004 and will cost around $200, the company said.","Netgear prices the WGT634U Super Wireless Media Router, which will be available in the first quarter of 2004, at under $200.",0.6
198,The commission estimates California lost $1.34 billion -- the most of any state -- to tax shelters in 2001.,The commission estimated California lost $937 million to corporate tax shelters in 2001.,0.55
199,The officials did not say whether U.S. forces crossed into Syrian territory and were vague about how the Syrian border guards became involved.,"U.S. officials did not say whether American forces, who were acting on intelligence, crossed into Syrian territory and were vague about how the Syrian guards were involved.",0.8
