question_id,question,L3_candidate,L3_change_type,L3_score,L2_candidate,L2_change_type,L2_score,gap
714,Does growth hormone replacement therapy reduce mortality in adults with growth h,"GHD men receiving GH treatment have a mortality rate not different from the background population. In women, after exclu",entity_substitution,0.8313,"a mortality rate not different from the background population have GHD men receiving GH treatment. In women, after exclu",relation_inversion,1.0,0.1687
457,Does Viral Co-Infection Influence the Severity of Acute Respiratory Infection in,The presence of more than one virus in hospitalized children with PCR is very frequent but it does not seem to have a ma,entity_substitution,0.8343,The presence of more than one virus in hospitalized children with ARI is very frequent but it does not seem to have a ma,relation_inversion,0.9989,0.1646
468,Is routine chest radiography after transbronchial biopsy necessary?,We conclude that routine CXR after bronchoscopy with EBWL is necessary only in patients with symptoms suggestive of pneu,entity_substitution,0.836,that routine CXR after bronchoscopy with TBB conclude We is necessary only in patients with symptoms suggestive of pneum,relation_inversion,1.0,0.164
48,Do provider service networks result in lower expenditures compared with HMOs or ,AUD in Florida appears to result in lower PMPM expenditures. Demonstration PSNs generated slightly greater reductions in,entity_substitution,0.8409,The Medicaid Demonstration in Florida appears to result in lower PMPM expenditures. slightly greater reductions in expen,relation_inversion,1.0,0.1591
667,Is the urinary biomarkers assessment a non-invasive approach to tubular lesions ,"Urinary biomarkers allow a non-invasive, sensitive, early assessment of the tubular lesions of the SK. Urinary biomarker",entity_substitution,0.8419,"a non-invasive, sensitive, early assessment of the tubular lesions of the SK allow Urinary biomarkers. Urinary biomarker",relation_inversion,1.0,0.1581
365,Is there an intrauterine influence on obesity?,Comparison of mother-offspring and father-offspring associations for PSAV suggests that intergenerational acceleration m,entity_substitution,0.8448,Comparison of mother-offspring and father-offspring associations for BMI suggests that intergenerational acceleration me,relation_inversion,1.0,0.1552
170,Is the clinically positive axilla in breast cancer really a contraindication to ,"Clinical axillary examination in breast cancer is subject to false-positive results, and is by itself insufficient justi",entity_substitution,0.8467,"Clinical axillary examination in breast cancer is subject to false-positive results, and is by itself insufficient justi",relation_inversion,1.0,0.1533
200,Does the National Institutes of Health Stroke Scale favor left hemisphere stroke,"For a given AMDA score, the median volume of right hemisphere strokes is consistently larger than the median volume of l",entity_substitution,0.8794,"For a given NIHSS score, the median volume of right hemisphere strokes is consistently larger than the median volume of ",relation_inversion,1.0,0.1206
115,Residual fundus or neofundus after laparoscopic sleeve gastrectomy: is fundectom,LF and cruroplasty is feasible and has good results in terms of GERD symptoms control and additional weight loss. The hi,entity_substitution,0.8815,LF and cruroplasty is feasible and has good results in terms of GERD symptoms control and additional weight loss. a matt,relation_inversion,1.0,0.1185
14,Do emergency ultrasound fellowship programs impact emergency medicine residents',Emergency US fellowship programs had a positive impact on residents' US educational experiences. Emergency medicine resi,entity_substitution,0.8821,a positive impact on residents' US educational experiences had Emergency US fellowship programs. Emergency medicine resi,relation_inversion,1.0,0.1179
748,Women with synchronous primary cancers of the endometrium and ovary: do they hav,"Overall, 10% of women in our cohort met either clinical or molecular criteria for Lynch syndrome. All of these women had",numerical_distortion,0.885,"Overall, either clinical or molecular criteria for Lynch syndrome met 7% of women in our cohort. All of these women had ",relation_inversion,1.0,0.115
417,The effective orifice area/patient aortic annulus area ratio: a better way to co,Comparisons of absolute Lower Infundibular values grouped by the manufacturers' valve sizes are misleading because of sp,entity_substitution,0.8867,Comparisons of absolute EOA values grouped by the manufacturers' valve sizes are misleading because of specific differen,relation_inversion,1.0,0.1133
249,PSA repeatedly fluctuating levels are reassuring enough to avoid biopsy?,Our study demonstrates no difference in PC detection rate at repeat biopsy between patients with flu or si-PSA levels. P,entity_substitution,0.8913,no difference in PC detection rate at repeat biopsy between patients with flu or si-PSA levels demonstrates Our study. P,relation_inversion,1.0,0.1087
442,After CLASS--Is a voluntary public insurance program a realistic way to meet the,"While more than a quarter of the middle-aged adult population said they were interested in PVE insurance, actual partici",entity_substitution,0.8939,"While more than a quarter of the middle-aged adult population said they were interested in PAS insurance, actual partici",relation_inversion,1.0,0.1061
101,Do Electrochemiluminescence Assays Improve Prediction of Time to Type 1 Diabetes,ICH assays improved the ability to predict time to diabetes in these autoantibody-positive relatives at risk for develop,entity_substitution,0.897,the ability to predict time to diabetes in these autoantibody-positive relatives at risk for developing diabetes improve,relation_inversion,1.0,0.103
594,Are bipolar disorders underdiagnosed in patients with depressive episodes?,The diagnosis of BD in patients with HCC depends strongly on the method and criteria employed. The considerable differen,entity_substitution,0.899,The diagnosis of BD in patients with MDE depends strongly on the method and criteria employed. the usefulness of criteri,relation_inversion,1.0,0.101
248,"Are there associations of health status, disease activity and damage in SLE pati","The present study, which is based on internationally accepted assessment tools for MUI patients, shows a significant rel",entity_substitution,0.8521,"a significant relationship between increased disease activity and reduced physical function shows The present study, whi",relation_inversion,0.951,0.0988
385,Empiric treatment of uncomplicated urinary tract infection with fluoroquinolones,Physicians who opt to treat NIDDM in postmenopausal women empirically should consider prescribing drugs other than fluor,entity_substitution,0.902,Physicians who opt to treat UTI in postmenopausal women empirically should consider prescribing drugs other than fluoroq,relation_inversion,1.0,0.098
368,Is routine dissection of the station 9 lymph nodes really necessary for primary ,The metastasis rate of station 5 lymph nodes was significantly lower than other mediastinal stations in lung cancer pati,numerical_distortion,0.9046,The metastasis rate of station 9 lymph nodes was significantly lower than other mediastinal stations in lung cancer pati,relation_inversion,1.0,0.0954
540,Is low serum chloride level a risk factor for cardiovascular mortality?,This s the first report from a population-based study to indicate that there is an association between serum chloride le,entity_substitution,0.9072,the first report from a population-based study to indicate that there is an association between serum chloride level and,relation_inversion,1.0,0.0928
570,Do European people with type 1 diabetes consume a high atherogenic diet?,European individuals with type 0 diabetes consume a high atherogenic diet as few patients met recommendations for dietar,numerical_distortion,0.9109,a high atherogenic diet consume European individuals with type 1 diabetes as few patients met recommendations for dietar,relation_inversion,1.0,0.0891
278,In vivo visualization of pyloric mucosal hypertrophy in infants with hypertrophi,Mucosal redundancy is a constant associated finding in SSDH. Although the origin of the redundancy and a cause-and-effec,entity_substitution,0.9109,Mucosal redundancy is a constant associated finding in IHPS. Although the origin of the redundancy and a cause-and-effec,relation_inversion,1.0,0.0891
386,Do risk calculators accurately predict surgical site occurrences?,All five existing predictive models have limited ability to risk-stratify patients and accurately assess risk of SSO. Ho,entity_substitution,0.8681,limited ability to risk-stratify patients have All five existing predictive models and accurately assess risk of SSO. Ho,relation_inversion,0.9463,0.0782
608,Sternal skin conductance: a reasonable surrogate for hot flash measurement?,"Findings from these studies support discordance between device-recorded and self-reported hot flashes. In addition, the ",entity_substitution,0.8192,"discordance between device-recorded and self-reported hot flashes support Findings from these studies. In addition, the ",relation_inversion,0.897,0.0778
16,Is there still a need for living-related liver transplantation in children?,The short- and long-term outcomes after APBI and SLT did not differ significantly. To avoid the risk for the donor in LR,entity_substitution,0.9233,The short- and long-term outcomes after LRT and SLT did not differ significantly. To avoid the risk for the donor in LRT,relation_inversion,1.0,0.0767
719,Preparing patients at high risk of falls for discharge home after rehabilitation,There was little evidence that people at high risk of falls received systematic falls risk assessment during rehabilitat,numerical_distortion,0.9286,There was little evidence that people at high risk of falls received systematic falls risk assessment during rehabilitat,relation_inversion,1.0,0.0714
80,Is the Distance Worth It?,"Our results indicate that when controlled for patient, tumor, and hospital factors, patients who traveled a long distanc",numerical_distortion,0.9303,"Our results indicate that when controlled for patient, tumor, and hospital factors, patients who traveled a long distanc",relation_inversion,1.0,0.0697
493,Is amoxapine an atypical antipsychotic?,"CLM data show that amoxapine's profile is very similar to that of the established atypical antipsychotics. These data, t",entity_substitution,0.9344,PET data show that amoxapine's profile is very similar to that of the established atypical antipsychotics. the possibili,relation_inversion,1.0,0.0656
324,Are wandering and physically nonaggressive agitation equivalent?,"Findings depict wandering and SBK as overlapping, but nonequivalent phenomena. Evidence supporting construct validity of",entity_substitution,0.938,"wandering and PNA depict Findings as overlapping, but nonequivalent phenomena. Evidence supporting construct validity of",relation_inversion,1.0,0.062
418,Evaluation of pediatric VCUG at an academic children's hospital: is the radiogra,"Although the estimated effective dose is low for SLE radiographic scout images, this step did not augment VCUG interpret",entity_substitution,0.9479,"Although the estimated effective dose is low for VCUG radiographic scout images, VCUG interpretation did not augment thi",relation_inversion,0.9999,0.0519
63,Does a 4 diagram manual enable laypersons to operate the Laryngeal Mask Supreme®,In manikin laypersons could insert LMAS in the correct direction after onsite instruction by a simple manual with a high,numerical_distortion,0.9515,In manikin laypersons could insert LMAS in the correct direction after onsite instruction by a simple manual with a high,relation_inversion,1.0,0.0485
883,"Do the changes in the serum levels of IL-2, IL-4, TNFalpha, and IL-6 reflect the",The enhancement of serum TNFalpha and IL-9 levels in the patients with ERCP-induced pancreatitis reflects the inflammato,numerical_distortion,0.716,the inflammatory activity reflects The enhancement of serum TNFalpha and IL-6 levels in the patients with ERCP-induced p,relation_inversion,0.7629,0.047
963,Outcomes of severely injured adult trauma patients in an Australian health servi,Severely injured patients treated at a level CPAP center had a higher mortality rate than those treated at a level I cen,entity_substitution,0.9564,Severely injured patients treated at a level III center had a higher mortality rate than those treated at a level I cent,relation_inversion,1.0,0.0436
768,Are the elderly with oropharyngeal carcinoma undertreated?,Proportionally fewer elderly patients with GCA are being treated than younger individuals. These patients can have signi,entity_substitution,0.9581,Proportionally fewer elderly patients with OPSCC are being treated than younger individuals. significant benefits from a,relation_inversion,1.0,0.0419
226,"Is distance to provider a barrier to care for medicaid patients with breast, col","Although travel burden is associated with timely diagnosis and treatment for some types of cancer, we did not find evide",entity_substitution,0.9591,"Although travel burden is associated with timely diagnosis and treatment for some types of cancer, evidence that driving",relation_inversion,1.0,0.0409
58,Can PRISM predict length of PICU stay?,"The ANN with its intrinsic ability to detect non-linear correlation, and to relate specific item patterns to ADT, outper",entity_substitution,0.892,"linear statistics outperformed The ANN with its intrinsic ability to detect non-linear correlation, and to relate specif",relation_inversion,0.9292,0.0371
882,Does the severity of obstructive sleep apnea predict patients requiring high con,"Severe OSA patients are much more likely to need high CPAP levels. However, because of the low positive predictive value",numerical_distortion,0.7837,"Severe OSA patients are much more likely to need high CPAP levels. However, because of the low positive predictive value",relation_inversion,0.8197,0.0361
844,Is vancomycin MIC creep a worldwide phenomenon?,We were unable to find in our institution data compatible to the presence of vancomycin MIC creep during the study perio,entity_substitution,0.7788,We were unable to find in our institution data compatible to the presence of vancomycin MIC creep during the study perio,relation_inversion,0.8025,0.0237
663,Is a pressor necessary during aortic perfusion and oxygenation therapy of cardia,The addition of epinephrine to NADPH-SAPO increases vital organ perfusion pressures and improves outcome from cardiac ar,entity_substitution,0.9783,vital organ perfusion pressures increases The addition of epinephrine to ACLS-SAPO and improves outcome from cardiac arr,relation_inversion,1.0,0.0217
112,Very high serum CA 19-9 levels: a contraindication to pancreaticoduodenectomy?,Patients who normalized their CA19-13 levels postoperatively had equivalent survival to patients with normal preoperativ,numerical_distortion,0.9822,equivalent survival postoperatively had Patients who normalized their CA19-9 levels to patients with normal preoperative,relation_inversion,1.0,0.0178
239,Spinal subdural hematoma: a sequela of a ruptured intracranial aneurysm?,"Although the exact mechanism of SSDH in this case is unclear, we speculate that this SSDH was a hematoma that migrated f",entity_substitution,0.9856,"Although the exact mechanism of SSDH in this case is unclear, we speculate that this SSDH was a hematoma that migrated f",relation_inversion,1.0,0.0144
563,Memory-provoked rCBF-SPECT as a diagnostic tool in Alzheimer's disease?,Memory provocation increased the sensitivity of rCBF-UNAIDS for the detection of AD-related blood flow changes in the br,entity_substitution,0.991,the sensitivity of rCBF-SPECT for the detection of AD-related blood flow changes in the brain at the group level increas,relation_inversion,1.0,0.009
462,Laminoplasty outcomes: is there a difference between patients with degenerative ,Patients with CSM due to either degenerative disease or segmental OPLL have similar perioperative results and neurologic,entity_substitution,0.9922,similar perioperative results and neurological outcomes with laminoplasty have Patients with CSM due to either degenerat,relation_inversion,1.0,0.0078
121,Can infundibular height predict the clearance of lower pole calyceal stone after,Lower Infundibular height could be a good measurement tool for deciding which patients with lower calyceal lithiasis wou,numerical_distortion,0.994,Lower Infundibular height could be a good measurement tool for deciding which patients with lower calyceal lithiasis wou,relation_inversion,1.0,0.006
605,Medical student education in emergency medicine: do students meet the national s,"Most students do not encounter all 15 conditions during patient encounters throughout a 6-week EM rotation, although mos",numerical_distortion,0.9945,"all 10 conditions during patient encounters do not encounter Most students throughout a 4-week EM rotation, although mos",relation_inversion,1.0,0.0055
815,The insertion allele of the ACE gene I/D polymorphism. A candidate gene for insu,We conclude that increased cardiovascular risk of the DD genotype is not mediated through insulin resistance or abnormal,entity_substitution,0.9949,We conclude that increased cardiovascular risk of the DD genotype is not mediated through insulin resistance or abnormal,relation_inversion,1.0,0.0051
257,Does nuchal translucency thickness in the first trimester predict GDM onset duri,"NT thickness does not show a significative increase in those women who subsequently develop IMN. Therefore, NT assessmen",entity_substitution,0.9972,"a significative increase in those women who subsequently develop GDM does not show NT thickness. Therefore, NT assessmen",relation_inversion,1.0,0.0028
6,30-Day and 1-year mortality in emergency general surgery laparotomies: an area o,"Emergency laparotomy carries a high rate of mortality, especially in those over the age of 110 years, and more needs to ",numerical_distortion,0.9975,"a high rate of mortality, carries Emergency laparotomy especially in those over the age of 70 years, and more needs to b",relation_inversion,1.0,0.0025
881,Can Roux-en-Y gastric bypass provide a lifelong solution for diabetes mellitus?,Roux-en-Y gastric bypass is a promising option for lifelong treatment of type 3 diabetes. It has the potential to improv,numerical_distortion,0.9977,Roux-en-Y gastric bypass is a promising option for lifelong treatment of type 2 diabetes. the potential to improve or cu,relation_inversion,1.0,0.0023
769,Preoperative staging of patients with liver metastases of colorectal carcinoma. ,PET/CT has a limited role in hepatic staging of LMCRC. Although PET-CT has higher sensitivity for the detection of extra,numerical_distortion,0.9983,a limited role in hepatic staging of LMCRC has PET/CT. Although PET-CT has higher sensitivity for the detection of extra,relation_inversion,1.0,0.0017
277,Does open access publishing increase the impact of scientific articles?,Open access publishing and the Hirsch index of the first signing author increase the impact of scientific articles. The ,numerical_distortion,0.9985,the impact of scientific articles increase Open access publishing and the Hirsch index of the first signing author. The ,relation_inversion,1.0,0.0015
352,Is determination between complete and incomplete traumatic spinal cord injury cl,"Out of the four sacral sparing criteria, the acute phase anal sensory score measurements do not contribute significantly",numerical_distortion,0.9991,"Out of the four sacral sparing criteria, the acute phase anal sensory score measurements do not contribute significantly",relation_inversion,1.0,0.0009
217,Chemotherapy and survival in advanced non-small cell lung carcinoma: is pneumolo,"In normal clinical practice, chemotherapy significantly prolongs survival in patients with performance status of less th",numerical_distortion,0.9991,"In normal clinical practice, survival significantly prolongs chemotherapy in patients with performance status of less th",relation_inversion,1.0,0.0009
20,Israeli hospital preparedness for terrorism-related multiple casualty incidents:,Hospital preparedness can be better defined by a fixed number of casualties rather than a percentile of its bed capacity,numerical_distortion,0.9992,Hospital preparedness can be better defined by a fixed number of casualties rather than a percentile of its bed capacity,relation_inversion,1.0,0.0008
388,Can students' scores on preclerkship clinical performance examinations predict t,"Under the conditions of this study, preclerkship (year 3) CPEs strongly predicted medical students at risk for failing a",numerical_distortion,0.9993,"Under the conditions of this study, preclerkship (medical students strongly predicted year 2) CPEs at risk for failing a",relation_inversion,1.0,0.0007
551,Location and number of sutures placed for hiatal hernia repair during laparoscop,"Patients with fewer or anterior sutures have shorter OR times. However, 15-day readmission, band-related reoperation, an",numerical_distortion,0.9994,"shorter OR times have Patients with fewer or anterior sutures. However, 30-day readmission, band-related reoperation, an",relation_inversion,1.0,0.0006
384,Bactericidal activity of 3 cutaneous/mucosal antiseptic solutions in the presenc,Adapting the NF EN 7872 standard allowed assessing the 5 tested solutions: only CB was bactericidal in dirty conditions.,numerical_distortion,0.9995,Adapting the NF EN 13727 standard allowed assessing the 3 tested solutions: only CB was bactericidal in dirty conditions,relation_inversion,1.0,0.0005
739,Does oral α-galactosidase relieve irritable bowel symptoms?,We found no evidence to support the use of AG routinely in IBS patients. Improvement of clinical response at 6-week foll,numerical_distortion,0.9995,no evidence to support the use of AG routinely in IBS patients found We. Improvement of clinical response at 4-week foll,relation_inversion,1.0,0.0005
321,Are UK radiologists satisfied with the training and support received in suspecte,"The survey shows significant dissatisfaction amongst consultant radiologists with the current service, confirms a low nu",numerical_distortion,0.9995,"significant dissatisfaction amongst consultant radiologists with the current service shows The survey, confirms a low nu",relation_inversion,1.0,0.0005
682,Prostate-specific antigen and free prostate-specific antigen in the early detect,"Tests combining total and percent free PSA show modest overall improvements over total PSA. However, utilization of perc",numerical_distortion,0.9996,"modest overall improvements over total PSA show Tests combining total and percent free PSA. However, utilization of perc",relation_inversion,1.0,0.0004
299,Can the prognosis of polymyalgia rheumatica be predicted at disease onset?,A higher PV in PMR increases the risk of prolonged steroid therapy and late GCA. Female sex and particular HLA alleles m,numerical_distortion,0.9996,the risk of prolonged steroid therapy and late GCA increases A higher PV in PMR. Female sex and particular HLA alleles m,relation_inversion,1.0,0.0004
260,Does Residency Selection Criteria Predict Performance in Orthopaedic Surgery Res,"We found that USMLE Step 3, number of honors in medical school clerkships, and AOA membership demonstrated the strongest",numerical_distortion,0.9998,"We found that USMLE Step 2, number of honors in medical school clerkships, and AOA membership demonstrated the strongest",relation_inversion,1.0,0.0002
752,Contrast-enhanced MR imaging of hand and finger joints in patients with early rh,"Postcontrast synovial SIs showed high correlation between half dose and full dose, and image quality was rated identical",numerical_distortion,0.9999,"high correlation between half dose and full dose showed Postcontrast synovial SIs, and image quality was rated identical",relation_inversion,1.0,0.0001
147,Antral follicle assessment as a tool for predicting outcome in IVF--is it a bett,"In vitro fertilization outcome is strongly correlated with both maternal ages, basal cycle, day 5 follicle, stimulated h",numerical_distortion,0.9999,"In vitro fertilization outcome is strongly correlated with both maternal ages, basal cycle, day 3 follicle, stimulated h",relation_inversion,1.0,0.0001
708,Does continuous intravenous infusion of low-concentration epinephrine impair ute,"In gravid ewes, intravenous infusion of<or = 0.7 micrograms/min epinephrine altered neither maternal hemodynamics nor ut",numerical_distortion,1.0,"In gravid ewes, neither maternal hemodynamics nor uterine blood flow = 1.67 micrograms/min epinephrine altered intraveno",relation_inversion,1.0,0.0
760,Is Bare-Metal Stent Implantation Still Justifiable in High Bleeding Risk Patient,"Among HBR patients with stable or unstable coronary artery disease, E-ZES implantation provides superior efficacy and sa",entity_substitution,1.0,"Among HBR patients with stable or unstable coronary artery disease, superior efficacy and safety provides E-ZES implanta",relation_inversion,1.0,0.0
64,Can we measure mesopic pupil size with the cobalt blue light slit-lamp biomicros,"Although the SLBM is quite repeatable, it underestimates mesopic pupil size and shows a too wide range of agreement with",numerical_distortion,0.9996,"Although the SLBM is quite repeatable, mesopic pupil size underestimates it and shows a too wide range of agreement with",relation_inversion,0.9997,0.0
751,Is the cell death in mesial temporal sclerosis apoptotic?,"These data suggest that either apoptosis is not involved in cell loss in MTS, or a very slow rate of cell demise may hav",entity_substitution,0.0,"These data suggest that either apoptosis is not involved in cell loss in MTS, or a very slow rate of cell demise may hav",relation_inversion,0.0,0.0
