id,paragraph_1,paragraph_2,kg_1,kg_2,snea_bert_similarity
42,a man is playing a guitar .,a man is playing a trumpet .,"[[""man"", ""playing"", ""guitar""]]","[[""man"", ""playing"", ""trumpet""]]",0.23807982534478067
43,a man swims underwater .,a woman is swimming underwater .,"[[""man"", ""swims_in"", ""water""], [""man"", ""location"", ""underwater""]]","[[""woman"", ""swims_in"", ""water""], [""woman"", ""location"", ""underwater""]]",0.662489702680816
44,"performance , routine",a short theatrical performance that is part of a longer program .,"[[""performance"", ""type_of"", ""routine""]]","[[""short_theatrical_performance"", ""part_of"", ""longer_program""]]",0.19108731711054117
45,tocqueville believed that there are no effective long-term constraints on this tendency .,"tocqueville thought that on the long run , nothing can be really opposed to this tendency .","[[""Tocqueville"", ""believed"", ""no_effective_long-term_constraints""], [""no_effective_long-term_constraints"", ""on"", ""tendency""]]","[[""Tocqueville"", ""thought"", ""nothing_can_be_opposed""], [""nothing_can_be_opposed"", ""to"", ""tendency""], [""nothing_can_be_opposed"", ""in"", ""long_run""]]",0.495279307444325
46,"by late afternoon , the dow jones industrial average was up 12.81 , or 0.1 percent , at 9,331.77 , having gained 201 points monday to its highest level since july 2002 .","in morning trading , the dow jones industrial average was down 8.76 , or 0.1 percent , at 9,310.20 , having gained 201 points monday .","[[""Dow_Jones_Industrial_Average"", ""increased_by"", ""12.81""], [""Dow_Jones_Industrial_Average"", ""increased_by_percentage"", ""0.1_percent""], [""Dow_Jones_Industrial_Average"", ""value_at"", ""9331.77""], [""Dow_Jones_Industrial_Average"", ""gained"", ""201_points""], [""Dow_Jones_Industrial_Average"", ""reached_level_since"", ""July_2002""], [""Dow_Jones_Industrial_Average"", ""highest_level_since"", ""July_2002""]]","[[""Dow_Jones_Industrial_Average"", ""decreased_by"", ""8.76""], [""Dow_Jones_Industrial_Average"", ""decreased_by_percentage"", ""0.1_percent""], [""Dow_Jones_Industrial_Average"", ""value_at"", ""9310.20""], [""Dow_Jones_Industrial_Average"", ""gained"", ""201_points""], [""Dow_Jones_Industrial_Average"", ""trading_time"", ""morning""]]",0.815709264959008
47,""" they 've been in the stores for over six weeks , "" says carney .","the quarterlies usually stay in stores for between six to eight weeks , "" carney added .","[[""carney"", ""says"", ""they_ve_been_in_stores_for_over_six_weeks""]]","[[""carney"", ""added"", ""quarterlies_usually_stay_in_stores_for_between_six_to_eight_weeks""], [""quarterlies"", ""stay_in"", ""stores""], [""quarterlies"", ""stay_for"", ""between_six_to_eight_weeks""]]",0.36375105292045734
48,a woman is picking a can .,a woman is slicing a tomato .,"[[""woman"", ""picking"", ""can""]]","[[""woman"", ""slicing"", ""tomato""]]",0.3349389504696794
49,a man is jumping into water .,a man is cutting paper .,"[[""man"", ""is_jumping_into"", ""water""]]","[[""man"", ""is_cutting"", ""paper""]]",0.14709749724190474
50,"its shares fell 71 cents , or 3.5 percent , in after-hours trading to $ 19.55 .","the stock had risen 63 cents , or 3 percent , to close at $ 20.26 in regular-session nasdaq trading .","[[""its"", ""fell"", ""71_cents""], [""its"", ""fell"", ""3.5_percent""], [""its"", ""traded_at"", ""19.55""], [""19.55"", ""price_after"", ""after-hours_trading""]]","[[""the_stock"", ""rose"", ""63_cents""], [""the_stock"", ""rose"", ""3_percent""], [""the_stock"", ""traded_at"", ""20.26""], [""20.26"", ""price_after"", ""regular-session_nasdaq_trading""]]",0.6376309704962106
51,some results are remarkable .,certain results are remarkable .,"[[""results"", ""are"", ""remarkable""]]","[[""results"", ""are"", ""remarkable""]]",0.99999999958018
52,there must be a balance as a whole .,the unity must be in balance .,[],[],0.0
53,"putin , too , also seems to suspect his regime 's impotence .","and , also , of his regime .","[[""putin"", ""suspects"", ""his_regime_impotence""]]","[[""his"", ""of"", ""his_regime""]]",0.42043962499977705
54,the notification was first reported friday by msnbc .,msnbc.com first reported the cia request on friday .,"[[""notification"", ""reported_by"", ""msnbc""], [""notification"", ""reported_on"", ""Friday""]]","[[""msnbc.com"", ""reported"", ""cia_request""], [""cia_request"", ""reported_on"", ""Friday""]]",0.453618357238468
55,some results are remarkable .,some results .,[],[],0.0
56,let me remind you that our allies include fervent supporters of this tax .,"i hold you recall that our allies , there are enthusiastic about this tax .","[[""our_allies"", ""include"", ""fervent_supporters""], [""fervent_supporters"", ""support"", ""this_tax""]]","[[""our_allies"", ""are"", ""enthusiastic""], [""our_allies"", ""enthusiastic_about"", ""this_tax""]]",0.5631882699965459
57,the elephants are bathing .,two women are singing .,"[[""elephants"", ""are_bathing"", ""True""]]","[[""women"", ""are_singing"", ""True""]]",0.43216707086620565
58,a person is petting a monkey .,a man is holding a slow loris .,"[[""person"", ""petting"", ""monkey""]]","[[""man"", ""holding"", ""slow_loris""]]",0.12568259383881927
59,a woman is placing food in a pot of hot water .,a woman is frying meat .,"[[""woman"", ""placing"", ""food""], [""food"", ""in"", ""pot""], [""pot"", ""contains"", ""hot_water""], [""woman"", ""interacting_with"", ""pot""]]","[[""woman"", ""frying"", ""meat""]]",0.3709807474783198
60,a woman is cutting an onion .,a man is cutting onions .,"[[""woman"", ""cutting"", ""onion""]]","[[""man"", ""cutting"", ""onions""]]",0.5921931171393588
61,i am one of those members who attends sittings quite faithfully .,i am one of the members who are rather honourably here .,"[[""I"", ""member_of"", ""members""], [""I"", ""attend"", ""sittings""]]","[[""I"", ""member_of"", ""members""], [""members"", ""located_at"", ""here""], [""members"", ""characterized_as"", ""honourably""]]",0.6547479639644241
62,provide with tools or items for a specific purpose,provide with ( something ) usually for a specific purpose .,"[[""tools_or_items"", ""used_for"", ""specific_purpose""], [""tools_or_items"", ""provided_for"", ""specific_purpose""]]","[[""something"", ""used_for"", ""specific_purpose""], [""something"", ""provided_for"", ""specific_purpose""], [""provide"", ""relation"", ""specific_purpose""]]",0.6144081676057958
63,a woman is picking a can .,a man is playing a guitar .,"[[""woman"", ""picking"", ""can""]]","[[""man"", ""playing"", ""guitar""]]",0.024466088306550247
64,"excluding one-time items , the company enjoyed a profit of 6 cents a share .","excluding one-time items , it expects profit of 11 cents to 15 cents a share .","[[""company"", ""enjoyed_profit"", ""6_cents_a_share""]]","[[""it"", ""expects_profit"", ""11_cents_to_15_cents_a_share""]]",0.5500118093130396
65,today there are two plausible ways to proceed against a deposed tyrant .,today there are two ways of proceeding to the origins .,"[[""today"", ""has"", ""two_plausible_ways""], [""two_plausible_ways"", ""used_against"", ""deposed_tyrant""]]","[[""today"", ""has"", ""two_ways""], [""two_ways"", ""used_for"", ""proceeding_to_origins""]]",0.44201384594786985
66,"the fishermen are inactive , tired and disappointed .","the fishers are inactive , tired and disappointed .","[[""fishermen"", ""are"", ""inactive""], [""fishermen"", ""are"", ""tired""], [""fishermen"", ""are"", ""disappointed""]]","[[""fishers"", ""are"", ""inactive""], [""fishers"", ""are"", ""tired""], [""fishers"", ""are"", ""disappointed""]]",0.934605442464568
67,""" they were brutally beaten , and it 's really a wonder that porchia is the only deceased in this case . """,""" it 's a wonder that porchia was the only deceased in this case , "" sax added .","[[""they"", ""were_beaten"", ""brutally""], [""porchia"", ""is"", ""deceased""], [""porchia"", ""is_only_deceased"", ""this_case""]]","[[""it"", ""is"", ""wonder""], [""porchia"", ""was"", ""deceased""], [""porchia"", ""is_only_deceased"", ""this_case""], [""sax"", ""added"", ""statement""]]",0.8324855192495901
68,a man rides off on a motorcycle .,a man is riding on a motorcycle .,"[[""man"", ""rides"", ""motorcycle""]]","[[""man"", ""riding_on"", ""motorcycle""]]",0.9459643092483357
69,a woman is feeding a man .,a woman is mixing meat .,"[[""woman"", ""feeding"", ""man""]]","[[""woman"", ""mixing"", ""meat""]]",0.3004973660203239
70,"the fishermen are inactive , tired and disappointed .","the fishermen are unemployed , tired and disappointed .","[[""fishermen"", ""are"", ""inactive""], [""fishermen"", ""are"", ""tired""], [""fishermen"", ""are"", ""disappointed""]]","[[""fishermen"", ""are"", ""unemployed""], [""fishermen"", ""are"", ""tired""], [""fishermen"", ""are"", ""disappointed""]]",0.7465906595063168
71,"darren dopp , a spitzer spokesman , declined to comment late thursday .","john heine , a spokesman for the commission in washington , declined to comment on mr. spitzer 's criticism .","[[""Darren_Dopp"", ""occupation"", ""spitzer_spokesman""], [""Darren_Dopp"", ""action"", ""declined_to_comment""], [""Darren_Dopp"", ""time_of_action"", ""late_Thursday""]]","[[""John_Heine"", ""occupation"", ""spokesman_for_commission""], [""John_Heine"", ""location"", ""Washington""], [""John_Heine"", ""action"", ""declined_to_comment""], [""John_Heine"", ""object_of_comment"", ""Mr_Spitzer_criticism""], [""Commission"", ""located_in"", ""Washington""], [""Mr_Spitzer"", ""relation"", ""criticism""]]",0.4300545108749971
72,a man is slicing a bun .,a man is slicing an onion .,"[[""man"", ""slicing"", ""bun""]]","[[""man"", ""slicing"", ""onion""]]",0.38897316755347
73,a cyclical span of time defined by a calendar system,a period of time containing 365 ( or 366 ) days .,"[[""cyclical_span_of_time"", ""defined_by"", ""calendar_system""]]","[[""period_of_time"", ""contains"", ""365_days""], [""period_of_time"", ""contains"", ""366_days""], [""period_of_time"", ""duration"", ""365_or_366_days""]]",0.3164325960245291
74,"be larger in number , quantity , power , status , or importance , without personally having sovereign power .","be larger in number , quantity , power , status or importance .","[[""number"", ""can_be"", ""larger""], [""quantity"", ""can_be"", ""larger""], [""power"", ""can_be"", ""larger""], [""status"", ""can_be"", ""larger""], [""importance"", ""can_be"", ""larger""], [""sovereign_power"", ""not_held_by"", ""entity""]]","[[""number"", ""can_be"", ""larger""], [""quantity"", ""can_be"", ""larger""], [""power"", ""can_be"", ""larger""], [""status"", ""can_be"", ""larger""], [""importance"", ""can_be"", ""larger""]]",0.9219827599542674
75,act of verbally informing,the act of informing by verbal report .,"[[""act_of_informing"", ""performed_by"", ""verbal_means""], [""act_of_informing"", ""method"", ""verbally_informing""]]","[[""act_of_informing"", ""performed_by"", ""verbal_report""], [""act_of_informing"", ""method"", ""verbal_report""]]",0.7282839164758561
76,a man is playing the cello .,a man seated is playing the cello .,"[[""man"", ""playing"", ""cello""]]","[[""man"", ""seated"", ""True""], [""man"", ""playing"", ""cello""]]",1.0
77,each side had quite different theories and explanations of what was going on .,each player had the theories and explanations markedly different situation .,"[[""each_side"", ""had"", ""theories""], [""each_side"", ""had"", ""explanations""], [""theories"", ""of"", ""what_was_going_on""], [""explanations"", ""of"", ""what_was_going_on""]]","[[""each_player"", ""had"", ""theories""], [""each_player"", ""had"", ""explanations""], [""theories"", ""markedly_different"", ""situation""], [""explanations"", ""markedly_different"", ""situation""]]",0.3961081697417262
78,"discern , identify , or know because of a previous experience",be fully aware or cognizant of .,"[[""previous_experience"", ""enables"", ""discern""], [""previous_experience"", ""enables"", ""identify""], [""previous_experience"", ""enables"", ""know""]]","[[""someone"", ""be_aware_of"", ""something""], [""someone"", ""be_cognizant_of"", ""something""]]",0.21708145590604522
79,but america 's interest in iraqi oil was not driven either by economics or energy policy .,but the interests of america for iraqi oil is dictated by the economy or the energy policy .,"[[""America"", ""interested_in"", ""Iraqi_oil""], [""America"", ""interest_not_driven_by"", ""economics""], [""America"", ""interest_not_driven_by"", ""energy_policy""]]","[[""America"", ""interested_in"", ""Iraqi_oil""], [""America"", ""interest_dictated_by"", ""economy""], [""America"", ""interest_dictated_by"", ""energy_policy""]]",0.9605444093334599
